uID;Name;Firma;Alternativname;Quelle
1031;Universität Göttingen (ohne Klinikum);teneo Organisationsberatung GbR;;https://www.uni-goettingen.de/de/416121.html
1739;Medizinische Hochschule Hannover;Bayer;Bayer-Stiftungen;http://www.mh-hannover.de/23395.html
1739;Medizinische Hochschule Hannover;Degussa Bank;;http://www.mh-hannover.de/23395.html
1739;Medizinische Hochschule Hannover;Förderstiftung MHH plus;;http://www.mh-hannover.de/23395.html
1739;Medizinische Hochschule Hannover;Heraeus;Heraeus Kulzer GmbH;http://www.mh-hannover.de/23395.html
1739;Medizinische Hochschule Hannover;IQuL GmbH;;http://www.mh-hannover.de/23395.html
1739;Medizinische Hochschule Hannover;MHH-Alumni e.V.;;http://www.mh-hannover.de/23395.html
1739;Medizinische Hochschule Hannover;QLEO Science GmbH;;http://www.mh-hannover.de/23395.html
1739;Medizinische Hochschule Hannover;Stiftung für Nephrologie;;http://www.mh-hannover.de/23395.html
1739;Medizinische Hochschule Hannover;Provinzial AG;;http://www.mh-hannover.de/23395.html
520;Universität Oldenburg;Arbeitgeberverband Oldenburg;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Arbeitsgemeinschaft der Volksbanken;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Raiffeisenbanken Ammerland;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Wesermarsch und Stadt Oldenburg;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Autohaus Rosier GmbH;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Bremer Landesbank;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Bruns Pflanzen Export GmbH & Co. KG;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;BTC AG;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;C.H. Beck Stiftung GmbH;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;DAUN & CIE AG;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Eriksen-Grensing-Stiftung;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Heinz Feldmann;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Fritz Heine-Stiftung;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;GN ReSound A/S;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Gramberg Steuerberatung GmbH;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Prof. Dr. Martin Heidenreich;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Hofmann-Stiftung;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Johann Bünting-Stiftung;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Kassenärztliche Vereinigung Niedersachsen;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Klinikum Oldenburg;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Prof. Dr. Katharina Kohse;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Prof. Dr. Klaus P. Kohse;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Landessparkasse zu Oldenburg;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Heike Laubinger und Marc Falkenstein;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Lionsclub Willa Thorade;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Ludwig Weinrich GmbH & Co. KG;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Johanna Martens;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;Martens, Jürgen;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
520;Universität Oldenburg;MLP AG;;http://www.uni-oldenburg.de/deutschlandstipendium/foerderer/
