Land;Hochschule;Fakultät;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Startpunkt;Quelle;Alternativname;Status
Baden-Württemberg;German Graduate School of Management and Law ;;Operations Management und Prozessinnovation;Audi;;;5 Jahre;2014;;;
Baden-Württemberg;Hochschule Karlsruhe (FH);;Betriebswirtschaft und betriebliche Informationssysteme;Dietmar-Hopp-Stiftung;;750000;10 Jahre;;;;
Baden-Württemberg;Hochschule Karlsruhe (FH);;Kälte-, Klima- und Umwelttechnik mit dem Schwerpunkt Energieeffizienz;Steinbeis-Stiftung für Wirtschaftsförderung;;550000;5 Jahre;;;;
Baden-Württemberg;Universität Konstanz;;Wirtschaftswissenschaften;Thurgauer Kantonalbank ;;;;;;;
Baden-Württemberg;Universität Konstanz;;In-vitro Methoden zum Tierversuchsersatz;Doerenkamp-Zbinden-Stiftung;300000;3000000;10 Jahre;2006;;;
Baden-Württemberg;Universität Konstanz;;Bioinformatik;Altana AG;;;unbegrrenzt;2003;;;
Baden-Württemberg;Universität Konstanz;;Photovoltaik;Sunways AG;190000;;4 Jahre;2004;;;
Baden-Württemberg;Universität Konstanz;;Photovoltaik;Centrotherm GmbH ;;;;;;;
Baden-Württemberg;Universität Konstanz;;Photovoltaik;SolarWorld;;;;;;;
Baden-Württemberg;Hochschule Konstanz (HTWG);;Mechatronik;Christa und Hermann Laur-Stiftung;93000;;10 Jahre;;;;
Baden-Württemberg;Hochschule Konstanz (HTWG);;Optimale Entwicklung, Herstellung und Verwendung mechatronischer Geräte und Produkte;Firma ETO MAGNETIC KG;;330000;5 Jahre;ausgelaufen;;;
Baden-Württemberg;Hochschule Konstanz (HTWG);;Elektrische Antriebstechnik für Fahrzeuge;ZF Friedrichshafen;;600000;5 Jahre;;;;
Baden-Württemberg;Hochschule Konstanz (HTWG);;Datensicherheit in cloudbasierten Systemen und IT-Forensik;Auerbach Stiftung Nürnberg;;1620000;10 Jahre;;;;
Baden-Württemberg;Hochschule Mannheim (FH);;Weiterentwicklung der intravitalen Mikroskopie;Klinikum Mannheim;;950000;10 Jahre;;;;
Baden-Württemberg;Hochschule für Wirtschaft und Umwelt Nürtingen;;Lehrbereich Immobilienwirtschaft insbesondere DV-gestützte Informationssysteme im Rahmen des SG Immobilienwirtschaft am Standort Geislingen/Steige;BauConsult DV- und Unternehmensberatung Stuttgart GmbH;;610000;10 Jahre;;;;
Baden-Württemberg;Hochschule für Wirtschaft und Umwelt Nürtingen;;Betriebswirtschaftslehre für den Bereich Automobilwirtschaft, insb. Automobilhandel;Santander Bank;;550000;11 Jahre;;;;
Baden-Württemberg;Hochschule für Wirtschaft und Umwelt Nürtingen;;Unternehmenskommunikation;Alb-Elektrizitätswerk Geislingen eG;;350000;10 Jahre;;;;
Baden-Württemberg;Hochschule für Wirtschaft und Umwelt Nürtingen;;Forensisches Sachverständigenwesen;Gundolf Beier Stiftung;;450000;10 Jahre;;;;
Baden-Württemberg;Hochschule für Wirtschaft und Umwelt Nürtingen;;Online-Marketing;Fa. Sommer Corporate Media - Elanders GmbH;;230000;5 Jahre;;;;
Baden-Württemberg;Hochschule Offenburg;;Transportlogistik, insbesondere nationaler und internationaler Logistik-Dienstleistungsunternehmen, innerbetriebliche Logistik und Supply-Chain-Management von Unternehmen der Industrie und des Handels;Georg und Maria Dietrich Logistik-Stiftung Offenburg;;500000;10 (7?);;;;
Baden-Württemberg;Hochschule Offenburg;Verfahrenstechnik;Energiesystemtechnik;EnBW;;700000;8 Jahre;;;;
Baden-Württemberg;Hochschule Offenburg;;Material Engineering;Unternehmenskonsortium von elf Unternehmen aus der Region Ortenau und dem Verein der Freunde und Förderer der HS Offenburg e.V.;;430000;5 Jahre;;;;
Baden-Württemberg;Hochschule Offenburg;;Biomedizinische Technik;Osypka;;700000;8 Jahre;;;;
Baden-Württemberg;Hochschule Offenburg;;Direct Marketing und E-Commerce;Herr Hans R. Schmid;;700000;8 Jahre;;;;
Baden-Württemberg;Hochschule Pforzheim;;Stanztechnik;Härter Stanztechnik GmbH;;750000;10 Jahre;;;;
Baden-Württemberg;Hochschule Pforzheim;;Stanztechnik;Kramski GmbH ;;;;;;;
Baden-Württemberg;Hochschule Pforzheim;;Stanztechnik;Kummer GmbH;;;;;;;
Baden-Württemberg;Hochschule Pforzheim;;Stanztechnik;Sparkasse Pforzheim Calw;;;;;;;
Baden-Württemberg;Hochschule Pforzheim;;Stanztechnik;Bruderer GmbH;;;;;;;
Baden-Württemberg;Hochschule Pforzheim;;Mechatronik;IHK Nordschwarzwald;;450000;5 Jahre;;;;
Baden-Württemberg;Hochschule Pforzheim;;Unternehmensbesteuerung und Steuerbilanzrecht;Ernst & Young;;540000;6 Jahre;;;;
Baden-Württemberg;Hochschule Pforzheim;;Automatisierungstechnik;IHK-Nordschwarzwald;;540000;6 Jahre;;;;
Baden-Württemberg;FH Ravensburg-Weingarten;;3D-Kameratechnik / Machine Vision;ifm electronic GmbH Essen;;1250000;10 Jahre;;;;
Baden-Württemberg;FH Ravensburg-Weingarten;;Theorie und Praxis der klinischen Pflege;Zentrum für Psychiatrie (ZfP);;1000000;10 Jahre;;;;
Baden-Württemberg;FH Ravensburg-Weingarten;;Theorie und Praxis der klinischen Pflege;ADK GmbH für Gesundheit und Soziales;;;;;;;
Baden-Württemberg;FH Ravensburg-Weingarten;;Theorie und Praxis der klinischen Pflege;Oberschwabenklinik GmbH;;;;;;;
Baden-Württemberg;FH Ravensburg-Weingarten;;Theorie und Praxis der klinischen Pflege;Klinikum Friedrichshafen GmbH;;;;;;;
Baden-Württemberg;FH Ravensburg-Weingarten;;Theorie und Praxis der klinischen Pflege;Waldburg-Zeil Kliniken;;;;;;;
Baden-Württemberg;FH Ravensburg-Weingarten;;Design mechatronischer Systeme in der Fahrzeugtechnik;ZF Friedrichshafen;;600000;5 Jahre;;;;
Baden-Württemberg;Hochschule Reutlingen;Energiezentrum REZ;Dezentrale Energiesysteme und Energieeffizienz;Karl-Schlecht-Stiftung;200000;;5 Jahre;2014;;;
Baden-Württemberg;Hochschule Reutlingen;;Internationaler Handel und E-Commerce;Dieter-Schwarz-Stiftung;;1020000;10 Jahre;;;;
Baden-Württemberg;Hochschule Reutlingen;;Elektrotechnik 1;Bosch;;1100000;10 Jahre;;;;
Baden-Württemberg;Hochschule Reutlingen;;Elektrotechnik 2;Bosch;;1100000;10 Jahre;;;;
Baden-Württemberg;Hochschule Reutlingen;;Logistik;Firma Betz;;900000;10 Jahre;;;;
Baden-Württemberg;FH Stuttgart, H der Medien;;Konstruktion und Gesamtherstellung von graphischen Produkten;Adolf I. Döpfert-Stiftung Ludwigsburg;;620000;10 Jahre;;;;
Baden-Württemberg;Hochschule Ulm;Produktionstechnik und Produktionswirtschaft;Energiedatenmanagement dezentraler und (regenerativer) erneuerbare Energieversorgungssysteme;Solarstiftung Ulm/Neu-Ulm, Ulm;;350000;5 Jahre;2006;;;
Baden-Württemberg;Hochschule Ulm;;Modellbasierte Systementwicklung;Industrie- und Handelskammer Ulm;;500000;5 Jahre;;;;
Baden-Württemberg;Hochschule Ulm;;Modellbasierte Systementwicklung;Airbus Group;;;;;;EADS;
Baden-Württemberg;Duale Hochschule Baden Württemberg;BWL International Business;Industrial Sales & Marketing;Wittenstein AG;;;;2014;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;BWL International Business;Industrial Sales & Marketing;Sparkasse Tauberfranken;;;;2014;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;BWL International Business;Industrial Sales & Marketing;Stadtwerk Tauberfranken;;;;2014;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;BWL International Business;Industrial Sales & Marketing;Stadt Bad Mergentheim;;;;2014;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;BWL International Business;Industrial Sales & Marketing;Main-Tauber-Kreis;;;;2014;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;BWL International Business;Industrial Sales & Marketing;Stiftung Pro DHBW Mosbach;;;;2014;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;;Business Administration;Voith;;96400;5 Jahre;;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;BWL-Handel,;Distributionslogistik und Warenwirtschaft;Dieter-Schwarz-Stiftung;;102300;10 Jahre;2002;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;BWL-Handel;Handel und Führung;Dieter-Schwarz-Stiftung;100000;;10 Jahre;2011;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;Maschinenbau,;Verfahrens-/ Energieverfahrenstechnik;EnBW;100000;;10 Jahre;2012;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;BWL-International Business;Investitionsgüter Marketing im Studiengang BWL-International Business;Stifterverband Pro Berufsakademie Mosbach;90000;;10 Jahre;2014;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;;Professur für Lehraufaufgaben im Studiengang Maschinenbau Fahrzeug-System-Engineering, insbes. Antriebstechnik;ZF Friedrichshafen;;550000;5 Jahre;;;;
Baden-Württemberg;Duale Hochschule Baden Württemberg;;Professur für Lehraufgaben mit der Vertiefung Interkulturelle Sozialarbeit, Gesundheitswissenschaften, sozialwissenschaftliche Grundlagen;Michael-Balint-Klinik Königsfeld;45000;;5 Jahre;;;;
Thüringen;Ernst Abbe Fachhochschule Jena;;Technologie der Photovoltaik;Carl Zeiss;150000;;5 Jahre;2008;;;
Thüringen;Ernst Abbe Fachhochschule Jena;;Technologie der Photovoltaik;Schott AG, Mainz;;;5 Jahre;;;;
Thüringen;Ernst Abbe Fachhochschule Jena;Wirtschaftsingenieurwesen;Stiftungsprofessur E-Commerce;Stiftung für Technologie, Innovation und Forschung Thüringen (STIFT);120000;;5 Jahre;2013;;;
Thüringen;TU Ilmenau;;Photovoltaik;Konsortium Thüringer Solarfirmen;;250000;;2008;;;
Thüringen;TU Ilmenau;;Photovoltaik;Ernst-Abbe-Stiftung;;;;;;;
Thüringen;FH Nordhausen;Institut für Sozialmedizin, Rehabilitationswissenschaften und Versorgungsforschung (ISRV);Rehabilitationswissenschaften und Versorgungsforschung (25%);Deutschen Rentenversicherung Braunschweig-Hannover;;;;;;;
Thüringen;FH Nordhausen;;Hertie-Senior-Forschungsprofessur Neurowissenschaften;Hertie-Stiftung;125000;;8 Jahre;2015;;;
Sachsen;TU Dresden (ohne Klinikum);Görlitz Kompetenzzentrum Revitalisierender Städtebau;Stiftungsprofessur Stadtumbau und Stadtforschung;Deutsche Stiftung Denkmalschutz;;;;2009;;;
Sachsen;TU Dresden (ohne Klinikum);Maschinenwesen;AREVA-Stiftungsprofessur für Bildgebende Messverfahren für die Energie- und Verfahrenstechnik;AREVA Wind GmbH;260000;plus 150000;5 Jahre;2012;;;
Sachsen;TU Dresden (ohne Klinikum);;Tiermodelle der Regeneration;Deutsche Forschungsgemeinschaft;;;5 Jahre;2008;;;
Sachsen;TU Dresden (ohne Klinikum);;Mobile Nachrichtensysteme;Vodafone D2 GmbH;;;21 Jahre;1994;;;
Sachsen;TU Dresden (Klinikum);Medizinische Fakultät;Transfusionsmedizin;DRK Blutspendedienst Ost GmbH;;;unbefristet;2009;;;
Sachsen;TU Dresden (ohne Klinikum);Maschinenwesen;Kälte-, Kryo- und Kompressorentechnik;The Schaufler Foundation;;;5 Jahre;2010;;;
Sachsen;TU Dresden (ohne Klinikum);Internationales Hochschulinstitut Zittau;Innovationsmanagement und Entrepreneurship ;Ostsächsische Sparkasse Dresden;;;8 Jahre;2010;;;
Sachsen;TU Dresden (ohne Klinikum);;Innovationsmanagement und Entrepreneurship ;Sachsen Bank;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Innovationsmanagement und Entrepreneurship ;Stifterverband für die Deutsche Wissenschaft;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Innovationsmanagement und Entrepreneurship ;bwin;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Innovationsmanagement und Entrepreneurship ;Deutscher Sparkassen- und Giroverband Berlin;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Innovationsmanagement und Entrepreneurship ;Ostdeutscher Sparkassenverband;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Innovationsmanagement und Entrepreneurship ;SOWG mbH;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Innovationsmanagement und Entrepreneurship ;Sparkasse Oberlausitz-Niederschlesien;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Innovationsmanagement und Entrepreneurship ;MBN Bau;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Innovationsmanagement und Entrepreneurship ;SSL Maschinenbau GmbH;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;öffentliches Recht, insbesondere Staatsrecht und Staatswissenschaften;CD-Stiftung (Carl Deichmann);;;5 Jahre;2009;;;
Sachsen;TU Dresden (ohne Klinikum);;Biomimetische Materialien;Förderung im Rahmen des gleichnamigen Forschungsprojekts durch  SMWK;;;5 Jahre;2011;;;
Sachsen;TU Dresden (ohne Klinikum);;BioNano-Werkzeuge (Heisenberg-Professur);Deutsche Forschungsgemeinschaft;;;5 Jahre;2010;;;
Sachsen;TU Dresden (ohne Klinikum);;Systembiologie und Genetik (Heisenberg-Professur);Deutsche Forschungsgemeinschaft;;;5 Jahre;2012;;;
Sachsen;TU Dresden (ohne Klinikum);;Organic Devices;cfaed - Center for Advancing Elektronics Dresden;;;5 Jahre;2013;;;
Sachsen;TU Dresden (ohne Klinikum);;Organic and Polymer Materials;cfaed - Center for Advancing Elektronics Dresden;;;5 Jahre;2013;;;
Sachsen;TU Dresden (ohne Klinikum);;Professor Design;cfaed - Center for Advancing Elektronics Dresden;;;5 Jahre;2013;;;
Sachsen;TU Dresden (ohne Klinikum);;Compiler Construction;cfaed - Center for Advancing Elektronics Dresden;;;5 Jahre;2013;;;
Sachsen;TU Dresden (ohne Klinikum);;Adaptive Networks;cfaed - Center for Advancing Elektronics Dresden;;;5 Jahre;2013;;;
Sachsen;TU Dresden (ohne Klinikum);;RNA-Biology (im Rahmen des Dresden concept);Max-Planck-Institut für Molekulare Zellbiologie und Genetik;;;unbefristet;;;;
Sachsen;TU Dresden (ohne Klinikum);;Developmental Cell Biology;Max-Planck-Institut für Molekulare Zellbiologie und Genetik;;;unbefristet;;;;
Sachsen;TU Dresden (ohne Klinikum);;Behaviorale Epidemiologie;Bundesministerium für Bildung und Forschung;;;6 Jahre;2012;;;
Sachsen;TU Dresden (ohne Klinikum);Fakultät Maschinenwesen;Ultrapräzisionsbearbeitung von Oberflächen mit Ionen und Plasmen;Jenoptik;;;6 Jahre;2014;;;
Sachsen;TU Dresden (ohne Klinikum);Fakultät Maschinenwesen;Ultrapräzisionsbearbeitung von Oberflächen mit Ionen und Plasmen;Optical Systems GmbH;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);Fakultät Maschinenwesen;Ultrapräzisionsbearbeitung von Oberflächen mit Ionen und Plasmen;Carl Zeiss;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);Fakultät Maschinenwesen;Ultrapräzisionsbearbeitung von Oberflächen mit Ionen und Plasmen;NTGL - Nano Technologie Leipzig GmbH;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);Fakultät Maschinenwesen;Ultrapräzisionsbearbeitung von Oberflächen mit Ionen und Plasmen;IOT - Innovative Oberflächentechnologien GmbH;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);Fakultät Maschinenwesen;Ultrapräzisionsbearbeitung von Oberflächen mit Ionen und Plasmen;Angewandte Kommunikationstechnik GmbH;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Werkstoffprüfung und -charakterisierung;Fraunhofer-Gesellschaft;;;unbefristet;;;;
Sachsen;TU Dresden (ohne Klinikum);;Kommunikationswissenschaft mit  dem Schwerpunkt Emerging Communications and Media;Sächsisches Druck- und Verlagshaus AG - Die Medien AG;;;4 Jahre;2011;;;
Sachsen;TU Dresden (ohne Klinikum);Mathematik und Naturwissenschaften;Organische Photovoltaik;Novaled AG;;;;2014;;;
Sachsen;TU Dresden (ohne Klinikum);Mathematik und Naturwissenschaften;Organische Photovoltaik;CreaPhys GmbH;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);Mathematik und Naturwissenschaften;Organische Photovoltaik;Heliatek GmbH;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);Mathematik und Naturwissenschaften;Organische Photovoltaik;3D-Micromac AG;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);Mathematik und Naturwissenschaften;Organische Photovoltaik;Robert-Luther-Stiftung;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);Philosophische Fakultät;Philosophie und Kunstgeschichte;Kuhn & Bülow Versicherungsmakler GmbH;;;;2014;;;
Sachsen;TU Dresden (ohne Klinikum);Philosophische Fakultät;Philosophie und Kunstgeschichte;MUSEIS SAXONICIS USUI - Freunde der Staatlichen Kunst-sammlungen Dresden e.V.;;;;;;;
Sachsen;TU Dresden (ohne Klinikum);;Internationale Beziehungen;UNESCO;;;ausgelaufen;2009;;;
Sachsen;TU Dresden (ohne Klinikum);Sprach-, Literatur- und Kulturwissenschaften;Italienische Sprache und Kultur;Italienisches Außenministerium;;;ausgelaufen;2006;;;
Sachsen;TU Dresden (ohne Klinikum);Medizinische Fakultät;Immungenetik;Deutsche Knochenmarkspenderdatei;;;ausgelaufen;2005;;;
Sachsen;TU Dresden (ohne Klinikum);Mathematik und Naturwissenschaften;Suchtforschung;Bundesministerium für Bildung und Forschung;;;ausgelaufen;2005;;;
Sachsen;TU Dresden (ohne Klinikum);Medizinische Fakultät;Stammzelltransplantation;Deutsche Knochenmarkspenderdatei;;;ausgelaufen;2004;;;
Sachsen;TU Dresden (ohne Klinikum);Mathematik und Naturwissenschaften;Grundlagen und Interventionen bei Essstörungen und assoziierten Störungen;Ingvild und Stephan Götz;;;ausgelaufen;2004;;;
Sachsen;TU Dresden (ohne Klinikum);;Circuits for Energy Efficiency;cfaed - Center for Advancing Elektronics Dresden;;;5 Jahre;2013;;;
Sachsen;TU Dresden (ohne Klinikum);Wirtschaftswissenschaften;Energiewirtschaft und Public Sector Management;DREWAG - Stadtwerke Dresden GmbH ;;;ausgelaufen;2004;;;
Sachsen;TU Dresden (ohne Klinikum);Wirtschaftswissenschaften;SAP-Stiftungslehrstuhl für Entrepreneurship und Innovation;SAP;;;ausgelaufen;1999;;;
Sachsen;TU Dresden (ohne Klinikum);Informatik;Heinz-Nixdorf-Stiftungsprofessur für Systems Engineering;Heinz Nixdorf Stiftung;;;ausgelaufen;2004;;;
Sachsen;TU Dresden (ohne Klinikum);;Blutstammzelltransplantation;;;;;2013;;;
Sachsen;TU Dresden (ohne Klinikum);;Nanomaterials for Packaging;Fraunhofer-Gesellschaft;;;Noch nicht bekannt!;;;;
Sachsen;TU Dresden (Klinikum);;Genomics of Regeneration;Deutsche Forschungsgemeinschaft;;;10 Jahre;2007;;;
Sachsen;TU Dresden (Klinikum);;Präklinische Stammzelltherapie;Deutsche Forschungsgemeinschaft;;;10 Jahre;2007;;;
Sachsen;TU Dresden (Klinikum);;Prävention und Versorgung des Diabetes;Sanofi Aventis;;;5 Jahre;2009;;;
Sachsen;TU Dresden (Klinikum);;Regenerative Therapien des Diabetes (Hans-Hagedorn-Stiftungsprofessur);Novo Nordisk Pharma;;;5 Jahre;2009;;;
Sachsen;TU Dresden (Klinikum);Medizinische Fakultät;Diabetes und Niere;European Nephrology and Dialysis Institue;;;5 Jahre;2010;;;
Sachsen;TU Dresden (Klinikum);;Biomarker für die individualisierte Radioonkologie;Bundesministerium für Bildung und Forschung;;;5 Jahre;2011;;;
Sachsen;TU Dresden (Klinikum);;Molekulare Pädiatrie;Deutsche Forschungsgemeinschaft;;;2 Jahre;2011;;;
Sachsen;TU Dresden (Klinikum);;Klinische Tumorepidemiologie und Ergebnisforschung;Deutsche Krebshilfe;;;5 Jahre;2010;;;
Sachsen;TU Dresden (Klinikum);Medizinische Fakultät;Translationale klinische Forschung im Bereich Hämatologie;Celgene GmbH;;;;2012;;;
Sachsen;TU Dresden (Klinikum);Medizinische Fakultät;Extrakorporale Verfahren und  Lipidapherese;B. Braun Avitum AG;;;;2012;;;
Sachsen;HHL Leipzig Graduate School of Management;;Marketing insbesondere E-Commerce und Crossmediales Media-Management;Stiftung Vögele Institut;;;;;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Energiemanagement und Nachhaltigkeit;Wittenberg-Zentrum für Globale Ethik e.V.;250000;;5 Jahre;2008;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Energiemanagement und Nachhaltigkeit;Vattenfall;;;;;;Vattenfall Europe AG;
Sachsen;Universität Leipzig (ohne Klinikum);;Energiemanagement und Nachhaltigkeit;Stifterverband für die Deutsche Wissenschaft;;;;;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Entwicklungsbiologie, Schwerpkt. Endogene Gewebs- und Organentwicklung und Regeneration;Bundesministerium für Bildung und Forschung;;;5 Jahre;2010;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Alexander-von-Humboldt-Professur - Internationaler Preis für Forschung in Deutschland;Alexander von Humboldt Stiftung;;;5 Jahre;2012;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Evolution und Adaption (am Forschungsinstitut für Integrative Biodiversitätsforschung);Deutsche Forschungsgemeinschaft;;;4 Jahre;2012;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Experimentelle Interaktionsökologie (am Forschungsinstitut für Integrative Biodiversitätsforschung);Deutsche Forschungsgemeinschaft;;;4 Jahre;2012;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Byzantinische und neugriechische Philologie;Ministerium für Erziehung und Religionen und Außenministerium von Griechenland;;;unbefristet;;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Wechselwirkung von Oberflächen mit biologischen Zellen und Geweben;Bundesministerium für Bildung und Forschung;;;6 Jahre;2009;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Multifunktionale Konstruktionswerkstoffe;Unternehmerverband Sachsen e. V.;;;5 Jahre;2011;;;
Sachsen;Universität Leipzig (ohne Klinikum);;Wirtschaftsinformatik, insbesondere Informationssysteme in der Logistik (Juniorprof.);Konsortium (sechs Firmen);;;5 Jahre;2012;;;
Sachsen;Universität Leipzig (Klinikum);;Klinische Onkologie;Universitätsklinikum Lzg.;;;5 Jahre;2013;;;
Sachsen;Universität Leipzig (Klinikum);;Experimentelle und Klinische Adipositasfprschung;Bundesministerium für Bildung und Forschung;;;5 Jahre;2013;;;
Sachsen;Universität Leipzig (Klinikum);;Heisenberg-Professur für Neurophysiologie;Deutsche Forschungsgemeinschaft;;;Noch nicht bekannt!;;;;
Sachsen;Universität Leipzig (Klinikum);;Medizinische und Zelluläre Immunologie;Bundesministerium für Bildung und Forschung;;;Noch nicht bekannt!;;;;
Sachsen;Universität Leipzig (Klinikum);;Kinderherzchirurgie;Herzzentrum Leipzig GmbH;;;14 Jahre;2000;;;
Sachsen;Universität Leipzig (Klinikum);;Neurologie (Neurologische Reha-bilitation motorischer Störungen);Michels-Kliniken Bennewitz;;;Unbefristet;;;;
Sachsen;Universität Leipzig (Klinikum);;Präventive/Regenerative Kardio-logie;Herzzentrum Leipzig GmbH;;;5 Jahre;2009;;;
Sachsen;Universität Leipzig (Klinikum);;Experimentelle und klinische Thorakale Organtransplantation im Bereich Herzchirurgie;Stifterverband für die Deutsche Wissenschaft;;;5 Jahre;2008;;;
Sachsen;Universität Leipzig (Klinikum);;Claussen-Simon-Stiftungspro- fessur für Neurobiologie affektiver Störungen;Claussen-Simon-Stiftung;;;6 Jahre;2009;;;
Sachsen;Universität Leipzig (Klinikum);;Allgemeine Pädiatrie/Pädiatrische Forschung;Fresenius Medical Care;;;6 Jahre;2010;;Else Kröner-Fresenius-Stiftung;
Sachsen;Universität Leipzig (Klinikum);;Allgemeine Pädiatrie/Pädiatrische Forschung;Deutsche Diabetes Stiftung;;;;;;;
Sachsen;Universität Leipzig (Klinikum);;Bariatrische Chirurgie;Universitätsklinikum Lzg.;;;5 Jahre;2010;;;
Sachsen;Universität Leipzig (Klinikum);;Molekulare Neurobildgebung der Adipositas;Bundesministerium für Bildung und Forschung;;;5 Jahre;2011;;;
Sachsen;Universität Leipzig (Klinikum);;Endokrinologie der Adipositas;Bundesministerium für Bildung und Forschung;;;5 Jahre;2011;;;
Sachsen;Universität Leipzig (Klinikum);;Ernährungspsychologie/Verhaltensmedizin;Bundesministerium für Bildung und Forschung;;;4 Jahre;2011;;;
Sachsen;Universität Leipzig (Klinikum);;Experimentelle und Klinische Adipositasforschung;Bundesministerium für Bildung und Forschung;;;Noch nicht bekannt!;;;;
Sachsen;Universität Leipzig (Klinikum);;Herzkreislaufforschung und Inno-vationstransfer;Leipziger Stiftung für Innovation und Technologietransfer;;;Noch nicht bekannt!;;;;
Sachsen;Universität Leipzig (Klinikum);;Pädiatrische Klinische Genetik;Universitätsklinikum Lzg.;;;5 Jahre;2012;;;
Sachsen;Universität Leipzig (Klinikum);;Gefäßchirurgie;Universitätsklinikum Lzg.;;;5 Jahre;2012;;;
Sachsen;Universität Leipzig (Klinikum);;Regeneration der Wirbelsäule;Bundesministerium für Bildung und Forschung;;;Noch nicht bekannt!;;;;
Sachsen;Universität Leipzig (Klinikum);;Transfusionsmedizin;Universitätsklinikum Lzg.;;;Noch nicht bekannt!;;;;
Sachsen;Universität Leipzig (Klinikum);;Genomik von Vorhofflimmern;Volkswagen-Stiftung;;;3 Jahre;2011;;;
Sachsen;Universität Leipzig (Klinikum);Institut für Hygiene/Krankenhaushygiene;Hygiene/Krankenhaushygiene;Stiftung des Universitätsklinikums Leipzig;k.A.;;Unbefristet;2014;;;
Sachsen;Universität Leipzig (Klinikum);;Genomik von Vorhofflimmern;Fritz und Hildegard Berg-Stiftung;;;6 Jahre;2009;;;
Sachsen;TU Bergakademie Freiberg;Maschinenbau, Verfahrens- und Energietechnik;Alfred Pott-Stifterprofessur für Gas- und Wärmetechnische Anlagen;VNG Verbundnetze Gas AG;;;2 Jahre;2006;;;
Sachsen;TU Bergakademie Freiberg;Maschinenbau, Verfahrens- und Energietechnik;Alfred Pott-Stifterprofessur für Gas- und Wärmetechnische Anlagen;Alfred und Cläre Pott-Stiftung;;;;;;;
Sachsen;TU Bergakademie Freiberg;Maschinenbau, Verfahrens- und Energietechnik;Alfred Pott-Stifterprofessur für Gas- und Wärmetechnische Anlagen;EVG Erdgasversorgungsgesellschaft  Thüringen-Sachsen mbH;;;;;;;
Sachsen;TU Bergakademie Freiberg;Maschinenbau, Verfahrens- und Energietechnik;Alfred Pott-Stifterprofessur für Gas- und Wärmetechnische Anlagen;Deutsche Vereinigung des Gas- und Wasserfachs;;;;;;;
Sachsen;TU Bergakademie Freiberg;Maschinenbau, Verfahrens- und Energietechnik;Alfred Pott-Stifterprofessur für Gas- und Wärmetechnische Anlagen;E.ON;;;;;;;
Sachsen;TU Bergakademie Freiberg;Maschinenbau, Verfahrens- und Energietechnik;Alfred Pott-Stifterprofessur für Gas- und Wärmetechnische Anlagen;NBB Netzgesellschaft  Berlin-Brandenburg mbH & Co KG;;;;;;;
Sachsen;TU Bergakademie Freiberg;Maschinenbau, Verfahrens- und Energietechnik;Alfred Pott-Stifterprofessur für Gas- und Wärmetechnische Anlagen;Stifterverband für die Deutsche Wissenschaft;;;;;;;
Sachsen;TU Bergakademie Freiberg;;Numerische Thermofluiddynamik;;;;4 Jahre;2010;;;
Sachsen;Hochschule für Technik, Wirtschaft und Kultur Leipzig;;Monitoring und Diagnostik in der elektrischen Energietechnik;Energie und Umwelt Stiftung Leipzig;;;1 Jahr;2012;;;
