Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname;Quelle
Niedersachsen;Hochschule für Bildende Künste Braunschweig;Norbert Gabrysch;;wirDesign Communications AG;;http://www.hbk-bs.de/hochschule/organisation/hochschulrat/
Niedersachsen;Hochschule Osnabrück (FH);Dr. Andreas Mainka;;August Mainka GmbH & Co;;https://www.hs-osnabrueck.de/stiftungsrat.html
Niedersachsen;Hochschule Wilhelmshaven/Oldenburg/Elsfleth (FH);Prof. Dr. Gerd Buziek;;Esri Deutschland GmbH;;http://www.jade-hs.de/hochschule/hochschulgremien/hochschulrat/
Niedersachsen;Hochschule Wilhelmshaven/Oldenburg/Elsfleth (FH);Tom Nietiedt;;Nietiedt-Gruppe;;http://www.jade-hs.de/hochschule/hochschulgremien/hochschulrat/
Niedersachsen;TU Braunschweig;Prof. Dr. Heinz Jörg Fuhrmann;;Salzgitter AG;;https://www.tu-braunschweig.de/struktur/organe/hochschulrat
Niedersachsen;TU Braunschweig;Prof. Dr. Martin Winterkorn;;Volkswagen;Volkswagen AG;https://www.tu-braunschweig.de/struktur/organe/hochschulrat
Niedersachsen;TU Clausthal;Dr. Jürgen Großmann;;Georgsmarienhütte GmbH;;https://www.tu-clausthal.de/gremien/hochschulrat/
Niedersachsen;TU Clausthal;Dr. Harald Ludanek;;Scania;;https://www.tu-clausthal.de/gremien/hochschulrat/
Niedersachsen;TU Clausthal;Agnes Tistler-Kachel;;LogoSensus Management Consultants GmbH;;https://www.tu-clausthal.de/gremien/hochschulrat/
Niedersachsen;Universität Göttingen (ohne Klinikum);Dr. Wilhelm Krull;;Volkswagen-Stiftung;;https://www.uni-goettingen.de/de/11349.html
Niedersachsen;Universität Osnabrück;Hans-Wolf Sievert;;Sievert;;https://www.uni-osnabrueck.de/universitaet/die_universitaet_im_ueberblick/organe_und_gremien/hochschulrat.html
Niedersachsen;Universität Hannover;Sepp Dieter Heckmann;;Deutschen Messe AG;;http://www.uni-hannover.de/de/universitaet/organisation/gremien/hochschulrat/mitglieder/heckmann/
Niedersachsen;Universität Oldenburg;Jörg Waskönig;Vorsitzender;Waskönig;;http://www.uni-oldenburg.de/gremien/hochschulrat/
Rheinland-Pfalz;FH Bingen;Michael Heß;;BASF;BASF SE;http://www.fh-bingen.de/hochschule/gremien/hochschulrat.html
Rheinland-Pfalz;FH Worms;Dr. Robert Blackburn;;BASF;BASF SE;http://www.hs-worms.de/Hochschulrat.95.0.html
Rheinland-Pfalz;FH Worms;Dominique Döttling;;Döttling & Partner Beratungsgesellschaft mbH;;http://www.hs-worms.de/Hochschulrat.95.0.html
Rheinland-Pfalz;FH Worms;Michael Suden;;Fiege Logistik Stiftung & Co. KG;;http://www.hs-worms.de/Hochschulrat.95.0.html
Rheinland-Pfalz;Hochschule Ludwigshafen am Rhein;Marco Esser;stellvertretender Vorsitzender;Commerzbank;;http://www.hs-lu.de/hochschule/organisation/hochschulrat.html
Rheinland-Pfalz;Hochschule Trier;Theo Scholtes;Vorsitzender;Bitburger;;https://www.hochschule-trier.de/index.php?id=374
Rheinland-Pfalz;Hochschule Trier;Holger von Keutz;Stellvertr. Vorsitzender;PricewaterhouseCoopers;;https://www.hochschule-trier.de/index.php?id=374
Rheinland-Pfalz;Universität Mainz;Prof. Dr. Dr. Andreas Barner;Vorsitzender;Boehringer Ingelheim;;http://www.uni-mainz.de/organisation/35_DEU_HTML.php
Rheinland-Pfalz;Universität Mainz;Dr. Leopold von Heimendahl;;Schott Glas;;http://www.uni-mainz.de/organisation/35_DEU_HTML.php
Sachsen;Westsächsische Hochschule Zwickau;Frank Löschmann;;SisTeam Group;;https://www.fh-zwickau.de/index.php?id=10336
Sachsen;Hochschule Mittweida (University of Applied Sciences);Georg Kuka;;advanced fiber tools GmbH;;https://www.hs-mittweida.de/webs/hochschulrat/mitglieder.html
Sachsen;Hochschule Mittweida (University of Applied Sciences);Sabine Sändig;;ifw optronics GmbH;;https://www.hs-mittweida.de/webs/hochschulrat/mitglieder.html
Sachsen;TU Bergakademie Freiberg;Herr Dipl.-Ing. Mario Behrendt;;Deutsche Solar GmbH;;https://tu-freiberg.de/zuv/gremien/hochschulrat.html
Sachsen;TU Bergakademie Freiberg;Herr Prof. Karl-Ulrich Köhler;;Tata Steel Europe;;https://tu-freiberg.de/zuv/gremien/hochschulrat.html
Sachsen;TU Bergakademie Freiberg;Herr Prof. Dr. Burkhard Schwenker;;Roland Berger Strategy Consultants GmbH;;https://tu-freiberg.de/zuv/gremien/hochschulrat.html
Sachsen;Hochschule Zittau/Görlitz (FH);Herr Dr.-Ing. Roman Müller;;Bombardier Transportation;;http://www.hszg.de/hochschule/leitung/hochschulrat.html
Sachsen;TU Dresden (ohne Klinikum);Gunda Röstel;Vorsitzende;GELSENWASSER;;https://tu-dresden.de/die_tu_dresden/gremien_und_beauftragte/hochschulrat
Sachsen;TU Dresden (ohne Klinikum);Prof. Klaus Raps;Stellvertr. Vorsitzender;Bilfinger Berger;;https://tu-dresden.de/die_tu_dresden/gremien_und_beauftragte/hochschulrat
