Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname;Quelle
Baden-Württemberg;Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg;Frederic Gellert;;MWK Baden-Württemberg;;https://www.hs-ludwigsburg.de/hochschule/organe-funktionen/hochschulrat.php
Baden-Württemberg;Hochschule für Wirtschaft und Umwelt Nürtingen;Horst Keller;;Keller Lufttechnik;;http://www.hfwu.de/de/hochschule-verwaltung/zentrale-organisation/hochschulrat.html
Baden-Württemberg;Hochschule für Wirtschaft und Umwelt Nürtingen;Siegfried Knoll;;knoll.neues.gruen.gmbhn;;http://www.hfwu.de/de/hochschule-verwaltung/zentrale-organisation/hochschulrat.html
Baden-Württemberg;Hochschule für Wirtschaft und Umwelt Nürtingen;Roland Schuler;;BayWa;BayWa AG;http://www.hfwu.de/de/hochschule-verwaltung/zentrale-organisation/hochschulrat.html
Baden-Württemberg;Hochschule für Gestaltung Schwäbisch Gmünd;Prof. Uli Mayer-Johanssen;;Meta-Design AG;;http://www.hfg-gmuend.de/Gremien_und_Einrichtungen.html
Baden-Württemberg;Hochschule für Gestaltung Schwäbisch Gmünd;Jörn Petersen;;Daimler;Daimler AG;http://www.hfg-gmuend.de/Gremien_und_Einrichtungen.html
Baden-Württemberg;Hochschule für Gestaltung Schwäbisch Gmünd;Bernd Richter;;Richter Lighting Technologies;;http://www.hfg-gmuend.de/Gremien_und_Einrichtungen.html
Baden-Württemberg;Hochschule für Gestaltung Schwäbisch Gmünd;Dr. Jörg Steffen Rieger;;RUD Ketten Rieger & Dietz GmbH u. Co. KG;;http://www.hfg-gmuend.de/Gremien_und_Einrichtungen.html
Baden-Württemberg;Hochschule für Forstwirtschaft Rottenburg (FH);Gräfin Bettina Bernadotte;;Mainau GmbH;;http://www.hs-rottenburg.net/die-hochschule/gremien-organe/hochschulrat/
Baden-Württemberg;Hochschule für Forstwirtschaft Rottenburg (FH);RA Stephan Meißner;Vorsitzender;Papierzentrum Gernsbach;;http://www.hs-rottenburg.net/die-hochschule/gremien-organe/hochschulrat/
Baden-Württemberg;Hochschule für Forstwirtschaft Rottenburg (FH);Dr. Udo Hartmann;;Daimler;Daimler AG;http://www.hs-rottenburg.net/die-hochschule/gremien-organe/hochschulrat/
Baden-Württemberg;Hochschule für Forstwirtschaft Rottenburg (FH);Max Reger;;ForstBW ;;http://www.hs-rottenburg.net/die-hochschule/gremien-organe/hochschulrat/
Baden-Württemberg;Hochschule Furtwangen;Dr. Eugen Göller;Vorsitzender;Trumpf;;http://www.hs-furtwangen.de/willkommen/die-hochschule/zentrale-services/organe/hochschulrat.html
Baden-Württemberg;Hochschule Furtwangen;Silke Burger;;SBS-Feintechnik GmbH & Co. KG;;http://www.hs-furtwangen.de/willkommen/die-hochschule/zentrale-services/organe/hochschulrat.html
Baden-Württemberg;Hochschule Furtwangen;Ulrich van der Meer;;Hewlett-Packard GmbH;;http://www.hs-furtwangen.de/willkommen/die-hochschule/zentrale-services/organe/hochschulrat.html
Baden-Württemberg;Hochschule Furtwangen;Gabriele Siedle;;S. Siedle & Söhne;;http://www.hs-furtwangen.de/willkommen/die-hochschule/zentrale-services/organe/hochschulrat.html
Baden-Württemberg;Hochschule Furtwangen;Dr. Lothar Ulsamer;;Daimler;Daimler AG;http://www.hs-furtwangen.de/willkommen/die-hochschule/zentrale-services/organe/hochschulrat.html
Baden-Württemberg;Hochschule Furtwangen;Prof. Dr. Dr. Dr. h.c. Michael Ungethüm;;B. Braun Melsungen AG;;http://www.hs-furtwangen.de/willkommen/die-hochschule/zentrale-services/organe/hochschulrat.html
Baden-Württemberg;Hochschule Esslingen (FH);Klaus Freytag;Vorsitzender;Siemens;;http://www.hs-esslingen.de/de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Esslingen (FH);Markus Heßbrüggen;;EMAG Holding GmbH;;http://www.hs-esslingen.de/de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Esslingen (FH);Heidi Stock;;Bosch;;http://www.hs-esslingen.de/de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Esslingen (FH);Georg Weiberg;;Daimler;Daimler AG;http://www.hs-esslingen.de/de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;FH Stuttgart, H der Medien;Dr. Jürgen Rautert;Vorsitzender;WashTec AG;;https://www.hdm-stuttgart.de/hochschule/organisation/organigramm/hochschulrat
Baden-Württemberg;FH Stuttgart, H der Medien;Dr. Friedrich Wehrle;;Motor Presse Stuttgart;;https://www.hdm-stuttgart.de/hochschule/organisation/organigramm/hochschulrat
Baden-Württemberg;Universität Ulm (ohne Klinikum);Dr. Dr. h.c. Klaus Bleyer;Vorsitzender;Mahle GmbH;;http://www.uni-ulm.de/universitaet/universitaetsrat.html
Baden-Württemberg;Universität Ulm (ohne Klinikum);Eduard Schleicher;;Schwenk;;http://www.uni-ulm.de/universitaet/universitaetsrat.html
Baden-Württemberg;Universität Ulm (ohne Klinikum);Renate Pilz;;Pilz GmbH & Co. KG;;http://www.uni-ulm.de/universitaet/universitaetsrat.html
Baden-Württemberg;Universität Ulm (ohne Klinikum);Ruth Martin;;Württ. Lebensversicherung AG, Vorstandsmitglied Württ. Versicherung AG, Vorstandsmitglied Württ. Krankenversicherung AG;;http://www.uni-ulm.de/universitaet/universitaetsrat.html
Baden-Württemberg;Universität Ulm (ohne Klinikum);Dr. Ingrid Wünning Tschol;;Bosch;Robert-Bosch-Stiftung;http://www.uni-ulm.de/universitaet/universitaetsrat.html
Baden-Württemberg;Hochschule Neu-Ulm;Dr. Jörg Hanisch;Vorsitzender;Wieland-Werke;;https://www.hs-neu-ulm.de/ueber-uns/organisation/hochschulrat/
Baden-Württemberg;Hochschule Neu-Ulm;Monika Garske;;Deutsche Bank;;https://www.hs-neu-ulm.de/ueber-uns/organisation/hochschulrat/
Baden-Württemberg;Hochschule Neu-Ulm;Dipl.-Kffr. Ulrike Hudelmaier;;TFU Gründer- und Technologiezentrum der Region Ulm/Neu-Ulm;;https://www.hs-neu-ulm.de/ueber-uns/organisation/hochschulrat/
Baden-Württemberg;Hochschule Neu-Ulm;Dr. Dr. h.c. Michael Krause;;Commerzbank;;https://www.hs-neu-ulm.de/ueber-uns/organisation/hochschulrat/
Baden-Württemberg;Hochschule Neu-Ulm;Dipl.-Ing. Christiane Schossig;;Wieland-Werke;;https://www.hs-neu-ulm.de/ueber-uns/organisation/hochschulrat/
Baden-Württemberg;Universität Tübingen (ohne Klinikum);Professor Dr. Andreas Busch;;Bayer;Bayer Schering Pharma AG;http://www.uni-tuebingen.de/einrichtungen/universitaetsrat.html
Baden-Württemberg;Universität Tübingen (ohne Klinikum);Dr. Albrecht Hauff;;Georg Thieme-Verlag KG;;http://www.uni-tuebingen.de/einrichtungen/universitaetsrat.html
Baden-Württemberg;Universität Tübingen (ohne Klinikum);Bettina Würth;;Würth;Adolf Würth GmbH & Co. KG;http://www.uni-tuebingen.de/einrichtungen/universitaetsrat.html
Baden-Württemberg;Universität Stuttgart;Dr. Barbara Bludau;;Pöllath+Partners;;http://www.uni-stuttgart.de/ueberblick/organisation/organe/unirat/
Baden-Württemberg;Universität Stuttgart;Dr. Siegfried Dais;;Bosch;Robert Bosch Industrietreuhand KG;http://www.uni-stuttgart.de/ueberblick/organisation/organe/unirat/
Baden-Württemberg;Universität Stuttgart;Martina Koederitz;;IBM;;http://www.uni-stuttgart.de/ueberblick/organisation/organe/unirat/
Baden-Württemberg;Universität Stuttgart;Prof. Dr. Thomas Weber;;Daimler;Daimler AG;http://www.uni-stuttgart.de/ueberblick/organisation/organe/unirat/
Baden-Württemberg;Hochschule Heilbronn;Tilmann Distelbarth;;Heilbronner Stimme GmbH & Co. KG;;https://www.hs-heilbronn.de/174610/02_hochschulrat
Baden-Württemberg;Hochschule Heilbronn;Ralf Klenk;;b.i.g.-Gruppe;;https://www.hs-heilbronn.de/174610/02_hochschulrat
Baden-Württemberg;Hochschule Heilbronn;Karl Schäuble;;Adolf Illig GmbH & Co.;;https://www.hs-heilbronn.de/174610/02_hochschulrat
Baden-Württemberg;Hochschule Heilbronn;Ehrhard Steffen;Vorsitzender;Schwäbisch Hall;Schwäbisch Hall Kredit Service AG;https://www.hs-heilbronn.de/174610/02_hochschulrat
Baden-Württemberg;Hochschule Heilbronn;Bettina Würth;;Würth;Würth-Gruppe;https://www.hs-heilbronn.de/174610/02_hochschulrat
Baden-Württemberg;Hochschule Karlsruhe (FH);Brigitte Almaschi;stellvertr. Vorsitzende;Hewlett-Packard GmbH;;http://www.hs-karlsruhe.de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Karlsruhe (FH);Bernd Bechtold;stellvertr. Vorsitzender;b.i.g.-Gruppe;;http://www.hs-karlsruhe.de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Karlsruhe (FH);Hans Dietrich;;DV Bern Holding AG;;http://www.hs-karlsruhe.de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Karlsruhe (FH);Lorenz Kohlbecker;;Bilfinger Berger;;http://www.hs-karlsruhe.de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Karlsruhe (FH);Gerhard Oswald;;SAP;;http://www.hs-karlsruhe.de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Karlsruhe (FH);Frithjof Punke;;Daimler;Daimler AG;http://www.hs-karlsruhe.de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Karlsruhe (FH);Dr. Sabine Röser;;Rudolf Röser Verlag und Informationsdienste AG;;http://www.hs-karlsruhe.de/hochschule/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Konstanz (HTWG);Prof. h. c. Thomas Sigi;Vorsitzender;Audi;;http://www.htwg-konstanz.de/Hochschulrat.84.0.html
Baden-Württemberg;Hochschule Konstanz (HTWG);Jaimi Cyrus;stellvertr. Vorsitzende;Hewlett-Packard GmbH;;http://www.htwg-konstanz.de/Hochschulrat.84.0.html
Baden-Württemberg;Hochschule Konstanz (HTWG);Christian Böllhoff;;Geschäftsführer Prognos AG;;http://www.htwg-konstanz.de/Hochschulrat.84.0.html
Baden-Württemberg;Hochschule Konstanz (HTWG);Dr. Andrea Leu;;Leu & Partner AG;;http://www.htwg-konstanz.de/Hochschulrat.84.0.html
Baden-Württemberg;Hochschule Offenburg;Dr. Winfried Blümel;;Progress-Werk Oberkirch AG;;http://www.hs-offenburg.de/die-hochschule/gremien/hochschulrat/
Baden-Württemberg;Hochschule Offenburg;Dr. Nicola M. Osypka;;Osypka;;http://www.hs-offenburg.de/die-hochschule/gremien/hochschulrat/
Baden-Württemberg;Hochschule Offenburg;Dr.-Ing. Stefan Scheringer;;MEIKO Maschinenbau GmbH & Co. KG;;http://www.hs-offenburg.de/die-hochschule/gremien/hochschulrat/
Baden-Württemberg;Hochschule Offenburg;Dipl.-Ing. Bruno Schnekenburger;;Parker Hannifin GmbH+Co KG;;http://www.hs-offenburg.de/die-hochschule/gremien/hochschulrat/
Baden-Württemberg;Hochschule Pforzheim;Christine Kienhöfer;;Unternehmensgruppe Felss;;https://www.hs-pforzheim.de/De-de/Hochschule/Gremien/Hochschulrat/Seiten/Hochschulrat.aspx
Baden-Württemberg;Hochschule Pforzheim;Dr. Hans-Eberhard Koch;;Witzenmann GmbH;;https://www.hs-pforzheim.de/De-de/Hochschule/Gremien/Hochschulrat/Seiten/Hochschulrat.aspx
Baden-Württemberg;Hochschule Pforzheim;Dipl.-Kaufmann Frank Straub;Vorsitzender;BLANCO Gruppe;;https://www.hs-pforzheim.de/De-de/Hochschule/Gremien/Hochschulrat/Seiten/Hochschulrat.aspx
Baden-Württemberg;Hochschule Reutlingen;Andreas Renschler;Vorsitzender;Daimler;Daimler AG;http://www.reutlingen-university.de/ueber-uns/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Reutlingen;Martina Koederitz;;IBM;;http://www.reutlingen-university.de/ueber-uns/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Reutlingen;Christoph Kübel;;Bosch;;http://www.reutlingen-university.de/ueber-uns/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Reutlingen;Andreas Kurtz;;PANDA GmbH Reutlingen;;http://www.reutlingen-university.de/ueber-uns/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Reutlingen;Karl Schmauder;;Elring Klinger AG;;http://www.reutlingen-university.de/ueber-uns/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Reutlingen;Kerstin Wagner;;Deutsche Bahn;DB Mobility Logistics AG;http://www.reutlingen-university.de/ueber-uns/gremien/hochschulrat.html
Baden-Württemberg;Hochschule Ulm;Jürgen Mohilo;Vorsitzender;Daimler;Daimler Financial Services;http://www.hs-ulm.de/org/Hochschulrat/
Baden-Württemberg;Hochschule Ulm;Dr. Ulrich Hartmann;;Wieland-Werke;;http://www.hs-ulm.de/org/Hochschulrat/
Baden-Württemberg;Hochschule Ulm;Bärbel Hörger;;Mercedes-Benz AG, Bielefeld;Mercedes-Benz Vans;http://www.hs-ulm.de/org/Hochschulrat/
Baden-Württemberg;Hochschule Ulm;Dr. Martina Burgetsmeier;;eXXcellent solutions;;http://www.hs-ulm.de/org/Hochschulrat/
Baden-Württemberg;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;Dr. Andreas Kreimeyer;Stellvertr. Vorsitzender;BASF;BASF SE;http://www.kit.edu/kit/aufsichtsrat.php
Baden-Württemberg;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;Susanne Kunschert;;Pilz GmbH & Co. KG;;http://www.kit.edu/kit/aufsichtsrat.php
Baden-Württemberg;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;Stefan Quandt;;AQTON SE;;http://www.kit.edu/kit/aufsichtsrat.php
Baden-Württemberg;Karlsruher Institut für Technologie (KIT) - Bereich Hochschule;Dr. Dieter Zetsche;;Daimler;Daimler AG;http://www.kit.edu/kit/aufsichtsrat.php
Baden-Württemberg;PH Freiburg i.Br.;Anne-Kathrin Deutrich;Vorsitzende;Testo AG;;https://www.ph-freiburg.de/hochschule/organe/hochschulrat.html
Baden-Württemberg;PH Freiburg i.Br.;Dr. Anja Bauer-Harz;;Elektro-Schillinger GmbH;;https://www.ph-freiburg.de/hochschule/organe/hochschulrat.html
Baden-Württemberg;Staatl. Akademie der Bildenden Künste Stuttgart;Dr. Petra Kiedaisch;;avedition GmbH;;http://www.abk-stuttgart.de/hochschule/organisation/organe-und-gremien.html
Baden-Württemberg;Staatl. Akademie der Bildenden Künste Stuttgart;Dr. Volker Gerstenmaier;;Bankhaus Ellwanger & Geiger KG;;http://www.abk-stuttgart.de/hochschule/organisation/organe-und-gremien.html
Baden-Württemberg;Universität Freiburg i.Br. (ohne Klinikum);Prof. Burkart Knospe;Vorsitzender;Testo AG;;https://www.uni-freiburg.de/verwaltung/der-universitaetsrat
Baden-Württemberg;Universität Freiburg i.Br. (ohne Klinikum);Anne-Kathrin Deutrich;;Testo AG;;https://www.uni-freiburg.de/verwaltung/der-universitaetsrat
Baden-Württemberg;Universität Freiburg i.Br. (ohne Klinikum);Dr. Christian Fischer;;BASF;BASF SE;https://www.uni-freiburg.de/verwaltung/der-universitaetsrat
Baden-Württemberg;Universität Freiburg i.Br. (ohne Klinikum);Dr. Dieter Pauschinger;;Trumpf;;https://www.uni-freiburg.de/verwaltung/der-universitaetsrat
Baden-Württemberg;Universität Hohenheim;Dr. Wolfgang Kuhn;;Südwestbank;;https://www.uni-hohenheim.de/universitaetsrat-mitglieder
Baden-Württemberg;Universität Hohenheim;Prof. Dr. Wolfgang Plischke;;Bayer;Bayer AG;https://www.uni-hohenheim.de/universitaetsrat-mitglieder
Baden-Württemberg;Universität Konstanz;Prof. Dr. Dieter Jahn;Vorsitz;BASF;BASF SE;http://www.profil.uni-konstanz.de/die-universitaet/universitaetsrat/
Baden-Württemberg;Universität Konstanz;Ursula Schwarzenbart;Stellv. Vorsitz;Daimler;Daimler AG;http://www.profil.uni-konstanz.de/die-universitaet/universitaetsrat/
