Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;;Maschinenbau;Reedereigemeinschaft Ems-Achse GmbH & Co KG;;;2005-31.12.2018;;;
;;Umwelttechnik;Reedereigemeinschaft Ems-Achse GmbH & Co KG;;;2005-31.12.2018;;;
;Hochschule Wilhelmshaven/Oldenburg/Elsfleth (FH);Technischer Schiffsbetrieb und Mathematik;Beluga Shipping GmbH;;;01.12.2007-2017(war geplant);;;
;;Ladungstechnik und Umweltschutz;Beluga Shipping GmbH;;;01.02.2008-2018(war geplant);;;
;;Transportmanagement;Behrmann-Stiftung;;;01.09.2010-31.08.2012;;;
;;Handelsmanagement und E-Commerce;Barthel-Stiftung;;;01.03.2010-31.08.2012;;;
;;Allgemeine Betriebswirtschaftslehre, insbesondere Versicherung-, Bank- und Kreditwirtschaft;Landessparkasse Oldenburg;;;16.01.2012 (5 Jahre, also 2017);;;
;;;Öffentliche Versicherungen Oldenburg;;;;;;
;;;Oldenburgische Landesbank;;;;;;
;Universität Göttingen (ohne Klinikum);Ostasienwissenschaft/China;KWS Saat AG;;;01.08.2009-31.07.2014;;;
;;;Sparkasse Göttingen;;;;;;
;;;Nord LB;;;;;;
;;;Sievert AG;;;;;;
;;;Thimm Holding GmbH & Co. KG;;;;;;
;;Öffentliches Recht mit dem Schwerpunkt Kirchen- und Staatskirchenrecht;Evangelische Kirche Deutschland (EKD);;;Seit 01.05.2008 unbefristet;;;
;Universität Göttingen (Klinikum);Kognitive Neurologie;Hermann und Lilly Schilling Stiftung;;;01.01.2011-31.12.2016;;;
;Tierärztliche Hochschule Hannover;Veterinärmedizinische Dermatopharmakologie;Bayer;;;01.01.2008-31.12.2012;;Bayer Health Care AG;
;;Lebensmittelsicherheit in der Lebensmittelkette;Lohmann Animal Health GmbH & Co. KG;;;01.01.2012-31.12.2016;;;
;Universität Hildesheim;Neurobiologische Grundlage des Lernens;Carsten Maschmeyer;;;01.05.2008-31.03.2014;;;
;;Klinische Psychologie;Klinikum Hildesheim GmbH;;;01.11.2011-31.03.2014;;;
;;;Ameos Klinikum Hildesheim;;;;;;
;;Wirtschaftsinformatik;Anwed Löseke Papierverwaltung und Druckerei GmbH;;;01.10.2006-30.11.2011;;;
;;Kunstvermittlung;VGH Stiftung und Sparkasse Hildesheim;;;01.10.2010-30.09.2013;;;
;Universität Lüneburg;Strategisches Management;Otto Group;;;01.08.2008-30.09.2013;;;
;;Integrated Financial Risk Management;Nord LB;;;01.08.2011-31.07.2016;;;
Saarland;Universität des Saarlandes Saarbrücken in Saarbrücken;W3-für Neurodegeneration und Neurobiologie;;;;bis 31.07.2011;;;
;;Stiftungsprofessur für Rechtsinformatik;;;;5 Jahre;;;
;;BWL, insbes. Management des Gesundheitswesens;;;;bis 31.01.2016, Verl. um weitere 5 J. möglich;;;
;;Molekulare Sinnesphysiologie;;;;bis 6/2016;;;
;;Klinische und Experimentelle Interventionelle Kardiologie;;;;bis 31.10.2017;;;
;;Experimentelle Pneumologie;;;; bis 14.12.2016;;;
;;Experimentelle Ophthalmologie;;;;bis 06/2014;;;
;;Pädiatrische Onkologie und Hämatologie;;;;akt. bis 30.9.2014, Weiterfinanzierung bis 30.09.2016 bei positiver Evaluation;;;
;;Experimentelle Orthopädie;;;;bis 05.10.2014;;;
;;Neuropathologie;;;;5 Jahre;;;
;;Allgemeinmedizin;;;;bis 31.12.2022;;;
;;Nachhaltige Entwicklung;;;;bis 30.09. 2015;;;
;;Informatik - Künstliche Intelligenz im Handel;;;;bis 02/2012;;;
;;Mikrointegration und Zuverlässigkeit;;;;keine Laufzeit;;;
;;Unkonventionelle Aktorik;;;;keine Laufzeit;;;
;;Stiftungsprofesur für Antriebstechnik;;;;bis 31.08.2016;;;
;;Metallurgie;;;;;;;
;Hochschule für Technik und Wirtschaft des Saarlandes Saarbrücken;Biomedizinische Technik;Fraunhofer-Gesellschaft;;;keine Befristung;;;
;;Konstruktion;ZeMA/Land;;;keine Befristung;;;
;;Mechatronische Konstruktion   ;ZeMA/Land;;;3 Jahre;;;
;;Fliudmechatronik;ZeMA/Land;;;3 Jahre;;;
;;Qualitycontrol/Maintenance;Fraunhofer-Gesellschaft;;;keine Befristung;;;
;;Windenergietechnik;VENSYS AG;;;5 Jahre;;;
Bayern;Universität Augsburg;Lehrstuhl für Umweltmanagement;Georg Haindl Wissenschaftsstiftung;;;;;;
;;Theologie des geistlichen Lebens;"Stiftung ""Theologie des geistlichen Lebens“";;;;;;
;;Finanzcontrolling;DekaBank;300000;;Seit 01.05.2008 unbefristet;http://www.uni-bamberg.de/?id=21556;;
;Hochschule Amberg-Weiden;Integrierte Logistiksysteme;Stiftung Winkler;;450000;5 Jahre;;;
;;Internationales Marketing und Unternehmensführung;Maria-Seltmann-Stiftung;;450000;5 Jahre;;;
;;Instandhaltungs- und Servicemanagement;BHS Corrugated Maschinen- und Anlagenbau GmbH;;450000;5 Jahre;;;
;;Fertigungstechnologien für die Medizintechnik;Gerresheimer Regensburg GmbH;;450000;5 Jahre;;;
;;;IMA Automation Amberg GmbH;;;;;;
;Hochschule Augsburg;Professur für Mechatronik;Firmenkonsortium (~20 Firmen) aus dem Landkreis Donau-Ries;;600000;6 Jahre, seit 2008;;;
;;Professur für Mechatronik;Firmenkonsortium (~20 Firmen) aus dem Landkreis Donau-Ries;;300000;"6 Jahre; Februar 2014";;;
;;Professur für Mechatronik;Firmenkonsortium (~20 Firmen) aus dem Landkreis Donau-Ries;;600000;"6 Jahre; wird z.Zt. ausgeschrieben";;;
;Hochschule Aschaffenburg;Ressourceneffiziente Konstruktion von Produkten sowie ingenieurwissenschaftliche Grundlagen;N.N.;100000;;5 Jahre ab 2014;;;
;Universität München (ohne Klinikum);Managementausbildung;Dr. Rochus Mummert;;;15 Jahren;;;
;;Altägyptische Kulturgeschichte in ptolemäisch-römischer Zeit;Deutsche Forschungsgemeinschaft;;;01.11.2011 – 31.10.2016;;;
;;Fernerkundung;Deutsches Zentrum für Luft- und Raumfahrt;;;seit 20.12.2001 bis zum Ausscheiden des derzeitigen Stelleninhabers (voraussichtl. 01.10.2026);;;
;;Chemische Technologie der Materialsynthese;Fraunhofer-Gesellschaft;;;seit 01.02.2006 für unbestimmte Zeit (voraussichtl. 01.04.2024);;;
;;Polymere Funktionswerkstoffe;Fördergemeinschaft für das Süddeutsche Kunststoffzentrum e.V.;;;15.09.2012 – 14.09.2017;;;
;;Röntgenmikroskopie;Fraunhofer-Gesellschaft;;;01.07.2010 – 30.06.2015;;;
;Universität München (Klinikum);Experimentelle und klinisch zelluläre Therapie;Elterninitiative leukämie und tumorkranker Kinder Würzburg e.V.;;;01.12.2009 - 30.11.2014;;;
;;Molekularbiologie des Zellwachstums;Deutsche Forschungsgemeinschaft;;;01.10.2009 - 30.9.2014;;;
;;Klinische Infektiologie mit Schwerpunkt Mykologie;Astellas Pharma;;;01.01.2013 – 30.11.2013;;;
;;Strukturbiologie;Deutsche Forschungsgemeinschaft;;;01.01.2002 – 30.6.2013;;;
;;Mikroskopie;Deutsche Forschungsgemeinschaft;;; 01.01.2002 - 30.6.2013;;;
;;Protein-Massenspektrometrie;Deutsche Forschungsgemeinschaft;;;01.01.2002 – 30.6.2013;;;
;;Experimentelle Biomedizin und Dermatologie;Deutsche Forschungsgemeinschaft;;;01.08.2003 – 30.6.2013;;;
;;Dermatologie und Experimentelle Biomedizin mit dem Schwerpunkt Molekulare Entzündungsbiologie der Haut;Deutsche Forschungsgemeinschaft;;;01.08.2003 – 30.6.2013;;;
;;Experimentelle Biomedizin, Schwerpunkt Biophysik von Membranproteinen;Deutsche Forschungsgemeinschaft;;;01.08.2003 – 30.6.2013;;;
;;Schwerpunkt Molekulare Neurobiologie/Neuroimaging;Deutsche Forschungsgemeinschaft;;;01.08.2003 – 30.6.2013;;;
;;Biochemie/Strukturbiologie;Deutsche Forschungsgemeinschaft;;;16.02.2005 - 30.6.2013;;;
;;Molekulare und zelluläre Bildgebung;BMBF;;;01.11.2010 - 31.10.2015;;;
;;Kardiovaskuläre Genetik;BMBF;;;01.11.2010 - 31.10.2015;;;
;;Translationale Forschung;BMBF;;;01.11.2010 - 31.10.2015;;;
;;"Translationale Forschung (""zweite"" Professur)";BMBF;;;01.11.2010 - 31.10.2015;;;
;;Epidemiologie der Herzinsuffizienz;BMBF;;;01.11.2010 - 31.10.2015;;;
;;Parodontale Entzündungen und Herzinsuffizienz;BMBF;;;01.11.2010 - 31.10.2015;;;
;Universität Passau;Informatik mit Schwerpunkt Programmierung;Deutsche Forschungsgemeinschaft;;337300;36 Monate, 1.10.2013;;;
;Technische Hochschule NÃ¼rnberg Georg Simon Ohm;Gesundheitsökonomie;Bionorica, Stadt Neumarkt;;;;;;
;;Regelungstechnik / Robotik;Baumüller;;;;;;
;;;Conti Temic;;;;;;
;;;Isyst Intelligente Systeme;;;;;;
;;;Siemens;;;;;;
;;Energietechnik;N-ERGIE AG;;;5 Jahre, ab 2013;;;
;Hochschule Coburg;Versicherungsbetriebslehre;HUK Coburg;W2;;5 Jahre, ab 2013;;;
;;Entwicklung und Auslegung moderner Werkzeugmaschinen;KAPP GmbH;W2;;5 Jahre, ab 2013;;;
;;;LASCO Umformtechnik GmbH;;;;;;
;;;Werkzeugmaschinenfabrik WALDRICH;;;;;;
;Kath. Stiftungs FH MÃ¼nchen in MÃ¼nchen;Glas- und Fassadenbau;GT Bischoff Glastechnik AG;;;5 Jahre, seit 2012;;;
;;;Josef Gartner GmbH & Co. KG;;;;;;
;;;Interpane Glasgesellschaft mbH;;;;;;
;;;Seele GmbH;;;;;;
;;;Sika Deutschland GmbH;;;;;;
;;Paper Technology;Voith Paper Holding GmbH & Co. KG;;;5 Jahre, seit 2010;;;
;;Licht und Gesundheit;ZVEI – Zentralverband Elektrotechnik- und Elektroindustrie e.V.;;;4 Jahre, seit 2013;;;
;;Konstruktion, Werkstofftechnik mit Schwerpunkt Dichtungstechnik;Burgmann Industries GmbH & Co. KG;;;5 Jahre, seit 2008;;;
;Universität Regensburg (ohne Klinikum);Volkswirtschaftslehre insbesondere Arbeitsmarktforschung ;;;;;;;
;;Empirische Wirtschaftsforschung insbesondere Makroökonometrie und Arbeitsmarkt;;;;;;;
;;Volkswirtschaftslehre, insbesondere Außenhandel und Wirtschaftliche Entwicklung in Mittel- und Osteuropa;;;;;;;
;;Immobilienökologie;;;;;;;
;;Theoretische Physik (Forschungszentrum Jülich);;;;;;;
;Universität Regensburg (Klinikum);Kinderchirurgie;;;;;;;
;;Neonatologie;;;;;;;
;;Innere Medizin mit dem Schwerpunkt Nephrologie/Nierentransplantation;;;;;;;
;;Unfallchirurgie (Schwerpunkt Regenerative Gelenkchirurgie) ;;;;;;;
;;Experimentelle Hepatologie;;;;;;;
;;Angewandte Bewusstseinswissenschaft in der psychosomatischen Medizin;;;;;;;
;;Netzhautforschung;;;;;;;
;;Hämatologie (Stammzelltransplantation);;;;;;;
;;Innere Medizin mit Schwerpunkt Schlaf- und Beatmungsmedizin ;;;;;;;
;;Neuro-Onkologie;;;;;;;
;Universität München (ohne Klinikum);Angewandte Mathematik (Quantitative Financial Mathematics);Allianz;;;VON: 01.04.2012       BIS: 31.03.2017;;;Allianz Investment Management SE
;;Strategie, Technologie und Organisation;Deutsche Telekom;;; 15.09.2006  BIS: 09.2013;;;Deutsche Telekom Stiftung
;;Erfindungsprozesse und Intellektuelles Eigentum;Hans-Sauer-Stiftung;;;01.01.2011 bis 31.12.2016;;;
;;Tibetologie und Buddhismuskunde;TARA-Stiftung;;;Seit 14.05.2003;;;
;;Neueste Geschichte;Stiftung zur wissenschaftlichen Erforschung der Zeitgeschichte [Institut für Zeitgeschichte München (IfZ)];;;40634;;;
;;Betriebswirtschaftslehre mit dem Schwerpunkt Personalwirtschaft;Verband der Bayerischen Metall- und Elektroindustrie e.V.;;;Von: 17.12.2009  ;;;
;;Volkswirtschaftslehre, insbesondere Bildungsökonomie;ifo Institut für Wirtschaftsforschung e.V.;;;Von: 02.05.2006;;;
;;Volkswirtschaftslehre, insbesondere Makroökonomie und Konjunkturforschung;ifo Institut für Wirtschaftsforschung e.V.;;;Von: 01.10.2007;;;
;;Volkswirtschaftslehre, insbesondere Sozialpolitik und Arbeitsmärkte;ifo Institut für Wirtschaftsforschung e.V.;;;Von: 01.01.2010;;;
;;Volkswirtschaftslehre, insbesondere vergleichende Institutionenökonomik;ifo Institut für Wirtschaftsforschung e.V.;;;Von: 01.10.2010;;;
;;Volkswirtschaftslehre, insbesondere reale und monetäre Außenwirtschaft    ;ifo Institut für Wirtschaftsforschung e.V.;;;Von: 01.04.2011;;;
;;Volkswirtschaftslehre, insbesondere Empirische Innovationsökonomik;ifo Institut für Wirtschaftsforschung e.V.;;;01.10.2011 bis 30.09.2016;;;
;;Statistik mit dem Schwerpunkt Social Surveys und Arbeitsmarktforschung  ;Bundesagentur für Arbeit;;;01.07.2010 bis 30.06.2016;;;
;;Physik der Atmosphäre;Deutsches Zentrum für Luft- und Raumfahrt;;;Von: 01.07.2012;;;
;;Experimentelle Aerophysik;Deutsches Zentrum für Luft- und Raumfahrt;;;01.10.2011 bis 30.09.2017;;;
;;Bioinformatik;Helmholtz Zentrum München;;;Von: 01.09.2006;;;
;;Arbeitsrecht und Bürgerliches Recht;Stiftung für Arbeitsbeziehungen und Arbeitsrecht (StAR);;;Von: 20.01.2004;;;
;;Arbeitsrecht, Arbeitsrechtsvergleichung und Bürgerliches Recht;Stiftung für Arbeitsbeziehungen und Arbeitsrecht (StAR);;;Von: 01.09.2006;;;
;;Sozialrecht, Arbeitsrecht und Bürgerliches Recht;Stiftung für Arbeitsbeziehungen und Arbeitsrecht (StAR);;;Von: 1.04.2009;;;
;Universität München (Klinikum);Kinderpalliativmedizin;Alfred Krupp von Bohlen und Halbach-Stiftung    ;;;VON: 01.01.2009  BIS: 31.12.2013;;;
;;Spiritual Care;Stifterverband für die Deutsche Wissenschaft;;;01.06.2010 bis 31.05.2015;;;
;;Klinische Pneumologie;Asklepios Fachkliniken GmbH;;;Von: 01.01.2013;;;
;;Epidemiologie von Schwindel-,Gleichgewichts- und Okulmotorikstörungen;BMBF;;;01.02.2012 bis 31.01.2017;;;
;;Dermatologie und Allergologie mit Schwerpunkt dermatologische Onkologie;Galderma Laboratorium GmbH;;;15.09.2008 bis 14.09.2013;;;
;;Translationale Schlaganfall- und Demenzforschung;Stiftung zur Erforschung der vaskulären Demenz;;;Von: 01.09.2010;;;
;;Experimentelle Schlaganfallforschung;Stiftung zur Erforschung der vaskulären Demenz;;;Von: 01.10.2011;;;
;;Bildgebung: Schlaganfall- und Demenzforschung;Stiftung zur Erforschung der vaskulären Demenz;;;Von: 01.07.2012;;;
;;Translationale Neurobiochemie;Deutsches Zentrum für Neurodegenerative Erkrankung e.V. (DZNE);;;Von: 01.02.2012;;;
;;Translationale Forschung auf dem Gebiet der Neurodegeneration;Deutsches Zentrum für Neurodegenerative Erkrankung e.V. (DZNE);;;Von: 15.12.2011;;;
;;Experimentelle Pneumologie;Helmholtz Zentrum München;;;Von: 01.11.2008;;;
;TU München (ohne Klinikum);SGL Group-Stiftungslehrstuhl für Carbon Composites;SGL Carbon GmbH;;;8 Jahre, seit 2009;;;
;;Lehrstuhl für Governance im internationalen Agribusiness;BayWa AG;;1370000;5 Jahre, ab 2013;;;
;;Susanne Klatten-Stiftungslehrstuhl für Empirische Bildungsforschung;;;10000000;10 Jahre, seit 2009;;;
;;Lehrinstitut für energieeffizientes und nachhaltiges Bauen und Planen;Verein für Bauforschung und Berufsbildung des Bayerischen Bauindustrieverbandes e.V.;;3500000;5 Jahre, seit 2010;;;
;;Friedl Schöller-Stiftungslehrstuhl für Unterrichts- und Hochschulforschung;Schöller Familien-Stiftung;;1725000;5 Jahre, seit 2010;;;
;;EADS-Stiftungslehrstuhl für Hubschraubertechnologie;EADS;;4777000;8 Jahre, seit 2010;;Eurocopter Deutschland GmbH;
;;Stiftungsprofessur für Industrielle Biokatalyse;Clariant;;1300000;5 Jahre, seit 2011;;;
;;Heinz Nixdorf-Lehrstuhl für Didaktik der Mathematik;Heinz Nixdorf Stiftung;;1725000;5 Jahre, seit 2009;;;
;;Lehrstuhl für Software Engineering - ein Stiftungslehrstuhl der Capgemini sd&m AG;Capgemini Deutschland GmbH;;;5 Jahre, seit 2012;;;
;;Peter Löscher-Stiftungslehrstuhl für Wirtschaftsethik;Peter Löscher;;1760000;8 Jahre, seit 2010;;;
;;Markus Würth Stiftungsprofessur für Kinderneuroorthopädie und Cerebralparese;Würth;;;5 Jahre, seit 2012;;Stiftung Würth;
;TU München (Klinikum);Lehrstuhl für Allgemeinmedizin;AOK;;;6 Jahre, seit 2009;;;
;;;Kassenärztliche Vereinigung Bayerns;;;;;;
;;Stiftungsprofessur für Konservative und Rehabilitative Orthopädie;Medical Park AG;;;5 Jahre, seit 2010;;;
;;Erich Rothenfußer Stiftungsprofessur für Naturheilkunde und Komplementärmedizin;Erich Rothenfußer Stiftung;;1500000;6 Jahre, seit 2010;;;
;;Friedrich Schiedel-Stiftungslehrstuhl für Neurowissenschaften;Friedrich Schiedel-Stiftung;;5000000;9 Jahre, seit 2004;;;
;;Stiftungsprofessur für Sozialpädiatrie;Theodor-Hellbrügge-Stiftung, Kliniken des Bezirks Obb./ Kinderzentrum München gGmbH;;;unbefristet;;;
;FH Rosenheim;Mechatronik;Seeoner Kreis;;;;;;
;;Mechatronik;Seeoner Kreis;;;;;;
;;Gebäudehülle;;;;;;;
;;Innenausbau;;;;;;;
;;Gesundheitswirtschaft;;;;;;;
;;Physiotherapie;;;;;;;
;;Forschungsprofessur;;;;;;;
;Universität Bayreuth;Ethnologie;Deutsche Forschungsgemeinschaft;;226100;2 Jahre, seit 2012;;;
;;Entwicklung und Politik Afrikas;Deutsche Forschungsgemeinschaft;;250000;4 Jahre, seit 2009;;;
;;Material Physics and Technology at Extreme Conditions;Deutsche Forschungsgemeinschaft;;320000;3 Jahre, seit 2011;;;
;;Materialsimulation;Oberfrankenstiftung Bayreuth;;1500000;5 Jahre, seit 2010;;;
;;Pflanzengenetik/Populatiosgenetik;Stifterverband für die Deutsche Wissenschaft;;470000;6 Jahre, seit 2010;;;
;;"Nonlinear dynamics in high temperature magnetized plasmas; Physics understanding through computing";Volkswagen;;943700;5 Jahre, seit 2010;;VolkswagenStiftung;
;;Islamwissenschaften;Deutsche Forschungsgemeinschaft;;380000;3 Jahre, seit 2011;;;
;;Clustering of micro- and nanoscopic drug delivery agents in human blood flow;Volkswagen;;1085400;5 Jahre, seit 2013;;VolkswagenStiftung;
;Akademie der Bildenden Künste München;Malerei und Grafik;Stiftung Kunstakademie;;;2010-2015;;;
;FH Regensburg;;;;;;;;
;FH Ingolstadt;Internationales Handelsmanagement, Strategisches Marketing und Innovationsmanagement;;;;;;;
;;Handelsmarketing, Personal- und Organisationsmanagement;;;;;;;
;;International Retail Management und Marketing;;;;;;;
;;Wirtschaftsprivatrecht;;;;;;;
;;Beschaffungsmanagement und Betriebswirtschaftslehre;;;;;;;
;;Akustik und Technische Mechanik;;;;;;;
;;Systemtechnik in sicherheitsgerichteten Anwendungen;;;;;;;
;;Fahrzeugsicherheit und Signalverarbeitung;;;;;;;
;Universität Erlangen-Nürnberg;GfK-Lehrstuhl für Marketing Intelligence;GfK Nürnberg e.V.;;;unbefristet, Kündigung nach 5 Jahren oder Ausscheiden des Inhabers möglich;;;
;;Lehrstuhl für Volkswirtschaftslehre, insb. Empirische Mikroökonomie (Jülicher Modell);Bundesagentur für Arbeit;;;5 Jahre: 05.05.2009-04.05.2014;;;
;;Lehrstuhl für Volkswirtschaftslehre, insb. Arbeitsökonomie (Jülicher Modell);Bundesagentur für Arbeit;;;5 Jahre: 05.05.2009-04.05.2014;;;
;;Stiftungsprofessur für Personalmanagement und Arbeitsorganisation technologieorientierter Unternehmen;Audi;;;5 Jahre ab Besetzung der Stiftungsprofessur;;;
;;Theo und Friedl Schöller-Stiftungsprofessur für klinische Ernährung im Alter;Theo und Friedl Schöller-Stiftung;;;"5 Jahre ab Besetzung; seit 01.04.2009 bis 31.03.2014";;;
;;Stiftungsprofessur für Orthopädische und Rheumatologische Rehabilitation;Landesversicherungsanstalt Oberbayern (LVA);;;19.03.1997-(unbefristet);;;
;;Henriette Schmidt-Burkhardt Lehrstuhl für Lebesmittelchemie;Henriette Schmidt-Burkhardt;;;bis zum Ausscheiden von Prof. Pischetsrieder;;;
;;Juniorprofessur für Mathematische Optimierung (Stiftungsprofessur Exzellenzcluster);;;;;;;
;;Professur für Theoretische Physik (Stiftungsprofessur Exzellenzcluster);;;;;;;
;;Juniorprofessur für Experimentalphysik (Rasterelektronenmikroskopie) (Stiftungsprofessur Exzellenzcluster);Biotronik SE & Co.KG, vormals Biotronik GmbH & Co., Berlin;;;;;;
;;Professur für Physik (SAOT) (Stiftungsprofessur Exzellenzinitiative);Fraunhofer-Gesellschaft;;;;;;
;;Max-Schaldach-Stiftungsprofessur für Biomedizinische Technik;Biotronik SE & Co.KG, vormals Biotronik GmbH & Co., Berlin;;;weitere 6 Jahre bis 29.12.2017;;;
;;Stiftungslehrstuhl für Informationstechnik mit dem Schwerpunkt Kommunikationselektronik;Fraunhofer-Gesellschaft;;;"unbefristet; Kündigungsfrist 1 Jahr zum Ende des Kalenderjahres";;;
;;Professor für Aromaforschung;Frauenhofergesellschaft;;;5 Jahre ab Besezung;;;
;;Juniorprofessur für Optofluidics  (Stiftungsprofessur Exzellenzinitiative);Alexander von Humboldt Stiftung;;;;;;
;;Professur f. Nanomaterialcharakterisierung (Streumethoden) CENEM  (Stiftungsprofessur Exzellenzinitiative);;;;;;;
;;Professur für Digitale Übertragung;Alexander von Humboldt Stiftung;;;;;;
;;;Fraunhofer-Gesellschaft;;;;;;
;;LS f. Audiocodierung;Fraunhofer-Gesellschaft;;;10 Jahre ab Erstberufung (im Anschluss Verlängerung um zunächst weitere 5 Jahre geplant);;;
;;LS f. Audiosignalanalyse;Fraunhofer-Gesellschaft;;;10 Jahre ab Erstberufung (im Anschluss Verlängerung um zunächst weitere 5 Jahre geplant);;;
;;LS f. Semantische Audiosignalverarbeitung;Fraunhofer-Gesellschaft;;;10 Jahre ab Erstberufung (im Anschluss Verlängerung um zunächst weitere 5 Jahre geplant);;;
;;Professur für wahrnehmungsbasierte, räumliche Audiosignalverarbeitung;Fraunhofer-Gesellschaft;;;10 Jahre ab Erstberufung (im Anschluss Verlängerung um zunächst weitere 5 Jahre geplant);;;
;;Professur für Psychoakustik;Fraunhofer-Gesellschaft;;;10 Jahre ab Erstberufung (im Anschluss Verlängerung um zunächst weitere 5 Jahre geplant);;;
;;Professur für Sprachkodierung;Fraunhofer-Gesellschaft;;;10 Jahre ab Erstberufung (im Anschluss Verlängerung um zunächst weitere 5 Jahre geplant);;;
;;Junior-Stiftungsprofessur für Sportinformatik (Digital Sports);Adidas;;;6 Jahre ab Besetzung (bis 31.01.2017);;;
;;Juniorprofessur für Nanostructured Particles  (Stiftungsprofessur Exzellenzinitiative);;;;;;;
;;Juniorprofessur für Katalytische Materialien (Stiftungsprofessur Exzellenzinitiative);;;;;;;
;;Professur für Particle Synthesis (Stiftungsprofessur Exzellenzinitiative);;;;;;;
;;Juniorprofessur für Werkstoffmikromechanik (Stiftungsprofessur Exzellenzinitiative);;;;;;;
;;Professur für Nano - Elektronik (Stiftungsprofessur Exzellenzinitiative);;;;;;;
;;Lehrstuhl für Multiscale Simulation of Particulate Systems (Stiftungsprofessur Exzellenzinitiative);;;;;;;
;;(Stiftungsprofessur Exzellenzcluster);;;;;;;
;;Biomedizin des Alterns;Barmherzige Brüder;;;ab 01.04.2013;;;
;Universität Erlangen-Nürnberg (Klinikum);"Juniorprofessur für chronisch - entzündliche Darmerkrankungen; Medizinischen Klinik 1 – Gastroenterologie, Pneumologie und Endokrinologie";AbbVie (AbbVie Deutschland GmbH & Co. KG);;;01.08.2010-31.07.2013;;;
;;W1-Stiftungs-Juniorprofessur für Molekulare Endoskopie an der Medizinischen Klinik 1 - Gastroenterologie, Pneumologie und Endokrinologie;Pentax Europe GmbH;;;01.03.2011-28.02.2014 ggf. Verlängerung 3 Jahre;;;
;;Stiftungsprofessur für Klinische und Experimentelle Ernährungsmedizin;Nestlé;;;6 Jahre;;;
;;;GHD;;;;;;
;;Professur für Palliativmedizin (Stiftungslehrstuhl);Deutsche Krebshilfe;;;5 Jahre, 01.04.2010-31.03.2015;;;
;;Stiftungsprofessur für Pädiatrische Endokrinologie;Pfizer;;;5 Jahre, 2006-31.10.2011 (Vertrag wurde verlängert);;;
;;Professur für Computational Medicine (DFG-Forschungsprofesssur), Phoniatrie und Pädaudiologie;Deutsche Forschungsgemeinschaft;;;seit 01.06.2007-31.05.2014;;;
;;Else Kröner-Fresenius-Stiftungsprofessur für Nanomedizin;Fresenius Medical Care;;;5 Jahre, 2009-30.06.2014;;Else Kröner-Fresenius-Stiftung;
;;Stiftungsprofessur für Neurologische Rehabilitation;Medical Park AG;;;5 Jahre ab Besetung;;;
;;Professur für Neuroimmunologie;Novartis;;;3 + 2 Jahre;;;
NRW;FH Bielefeld;Elektrotechnik und Automatisierung;Beckhoff Automation GmbH;100000;;5 Jahre, seit 2011;http://www.fh-bielefeld.de/presse/archiv/neu/zwei-stiftungsprofessuren-fuer-guetersloh;;
;;Ingenieurwissenschaftliche Grundlagen und deren Anwendung;Stiftung der Kreissparkasse Wiedenbrück, pro Wirtschaft GT GmbH;100000;;5 Jahre, seit 2010;;;
;Hochschule Niederrhein;"Controlling, insbesondere in der
Energiewirtschaft und Betriebswirtschaftliches Energiemanagement";NEW AG;150000;;5 Jahre, seit 2013;;;
;;"Psychosoziale Interventionen in
Handlungsfeldern der Prävention und Rehabilitation";Georg Gottlob Stiftung;;280000;2009-2012;;;
;Universität Bochum (ohne Klinikum);Atomistische Modellierung und Simulation;ThyssenKrupp;;;Seit 2008. inzwischen durch Uni übernommen.;;;
;;;Bayer;;;;;Bayer MaterialScience;
;;;Bayer;;;;;Bayer Technology Services;
;;;Mannesmann;;;;;;
;;;Bosch;;;;;;
;;Werkstoffwissenschaften;ThyssenKrupp;;;;;;
;;;Bayer;;;;;Bayer MaterialScience;
;;;Bayer;;;;;Bayer Technology Services;
;;;Mannesmann;;;;;;
;;;Bosch;;;;;;
;;"Skalenübergreifende Thermodynamische und Kinetische
Simulation";ThyssenKrupp;;;;;;
;;;Bayer;;;;;Bayer MaterialScience;
;;;Bayer;;;;;Bayer Technology Services;
;;;Mannesmann;;;;;;
;;;Bosch;;;;;;
;;Religionsforschung;BMBF;;;2008. ausgelaufen;;;
;;Funktionelle Architektur;Stiftung Mercator;;;;;;
;;Neurobiologie;Stiftung Mercator;;;;;;
;;Theorie des Gedächtnisses;Stiftung Mercator;;;;;;
;;;Emmy-Nöther oder Heisenberg-Programm;;;;;;
;FH Köln;Kunststoff;Axilone Germany GmbH;;230000;2010, für 5 Jahre;;;
;;;Pflitsch GmbH & Co. KG;;;;;;
;;;BARLOG plastics GmbH;;;;;;
;;;Boyke Wear Technology GmbH;;;;;;
;;;ERÜ GmbH;;;;;;
;;;Jokey Plastic Wipperfürth GmbH;;;;;;
;;;Reiku GmbH;;;;;;
;;;Sparkassen Gummersbach-Bergneustadt;;;;;;
;;Technische Chemie;Bayer;;;geplant, im Juni 2013 angekündigt;http://www.verwaltung.fh-koeln.de/aktuelles/2013/06/verw_msg_06074.html;Bayer AG;
;;;LANXESS;;;;;;
