Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;;SVI-Stiftungsprofessur;Siegfried Vögele Institut - Internationale Gesellschaft für Dialogmarketing GmbH (SVI);250000;1250000;5 Jahre;;;
;Hochschule für Musik und Theater;Jazz-Gesang;Gemeinnützige Dr. E.A. Langner-Stiftung;30000;150000;5 Jahre;;;
;;Jazz-Percussion;Gemeinnützige Dr. E.A. Langner-Stiftung;30000;;;;;
;Hochschule für Angewandte Wissenschaften Hamburg;Multichannel Trade Management in Textile Business;OTTO Group;70000;350000;5 Jahre;;;
;;Architektur von Flugzeugkabinen;Airbus Deutschland GmbH;84000;420000;5 Jahre;;;
;;Navigationstechnologien in der Orthopädie und Sportmedizin;Aesculap AG;90000;450000;"5 Jahre ab Einstellung der Professorin/des Professors; Berufungsverfahren läuft noch.";;;
;;;Schön Klinik Hamburg Eilbek;;;;;;
;Technische Universität Hamburg-Harburg;Flugzeug-Kabinensysteme;Airbus Deutschland GmbH;300000;1500000;5 Jahre;;;
;;Rekonfigurierbare Multiprozessor-Architekturen  ;Nordmetall;70000;420000;2*3 Jahre (Juniorprofessur);;;
;;Abfallressourcenwirtschaft;Stadtreinigung Hamburg;230000;1150000;5 Jahre;;;
;;Baumechatronik;Werner Möbius-Stiftung;100000;500000;"5 Jahre ab Einstellung der Professorin/des Professors; Berufungsverfahren läuft noch.";;;
Baden-Württemberg;Universität Freiburg;Wald- und Forstgeschichte;Andreas Stihl AG;100000;1000000;10 Jahre;;Andreas-Stihl-Stiftung;
;;Wilfried Guth Stiftungsprofessur für Volkswirtschaftslehre;Baden Badener Unternehmensgespräche;450000;4500000;10 Jahre;;;
;UniversitÃ¤t Freiburg i.Br. (Klinikum);Zelluläre und Systemische Neurophysioloige;Volkswagen;220000;1120000;5 Jahre;;Volkswagen-Stiftung (Lichtenberg);
;;Hepatologie (Heisenberg);Deutsche Forschungsgemeinschaft;;;5 Jahre;;;
;;Hämatopoetische Zelltherapie;Förderverin krebskranker Kinder e.V. Freiburg;220000;1320000;6 Jahre;;;
;;Stationäre und teilstationäre Psychotherapie in der psychosomatischen Medizin;Kur- und Rehaklinik GmbH;;;6 Jahre;;;
;;Neuroelektronische Systeme;Dr. Peter Osypka-Stiftung;210000;1260000;6 Jahre;;;
;;Palliativmedizin;Deutsche Krebshilfe;150000;770000;5 Jahre;;;
;Universität Heidelberg (Klinikum);Molekularbiologie des Mamakarzinoms;Dietmar-Hopp-Stiftung;500000;2500000;5 Jahre;;;
;;Vaskuläre Biologie und Tumorangiogenese;Hoechst;160000;1600000;10 Jahre;;;
;;Transfusionsmedizin und Immunologie;DRK Blutspendedienst Baden-Württemberg;120000;1200000;10 Jahre;;;
;;Erforschung und Behandlung des Schmerzes;Daimler;160000;1600000;10 Jahre;;DaimlerChrysler-Fonds im Stifterverband für die Deutsche Wissenschaft;
;;Molekulare Virologie;Professor Schaller;130000;1300000;10 Jahre;;;
;;Versorgungsforschung in der Psychosozialen Medizin;Prof. Dr. Rolf Wahl, Luisenklinik Bad Dürrheim;80000;800000;10 Jahre;;;
;;Statistische Modelle des Alterns;EML Research gGmbH (Tochtergesellschaft der Klaus Tschira Stiftung);;;;;;
;;Molekulare Grundlagen gastrointestinaler Tumoren;K.H. Bauer Stiftung;50000;;dauerhaft;;;
;;Zelluläre Immuntherapie;Dietmar-Hopp-Stiftung;90000;450000;5 Jahre;;;
;;;Novartis;;;;;;
;;Regenerative Medizin;Joachim Siebeneicher Stiftung;;;5 Jahre;;;
;;Leukämieforschung;Deutsche José Carreras Leukämie-Stiftung e.V.;90000;900000;10 Jahre;;;
;;Klinische Neuroonkologie;Hertie-Stiftung;210000;1230000;6 Jahre;;;
;;Medizinische Strahlenphysik/Strahlenschutz;Bundesamt für Strahlenschutz, Universitätsklinikum Mannheim gGmbH;;;;;;
;;Molekulare Bildgebung mit Schwerpunkt Radiochemie;Universitätsklinikum Mannheim gGmbH;;;10 Jahre;;;
;;Effizienzanalyse in der Diagnostik;Universitätsklinikum Mannheim gGmbH;;890000;5 Jahre;;;
;;;Dt. Vereinte Gesellschaft für Klinische Chemie und Laboratoriumsmedizin. e. V.;;;;;;
;;Mikrovaskuläre Biologie und Pathobiologie Franz Volhardt;Universitätsklinikum Mannheim gGmbH;80000;400000;5 Jahre;;;
;;Klinische Psychopharmakologie des Kindes- und Jugendalters;Lilli Pharma Holding GmbH;;1090000;5 Jahre;;;
