Bundesland;Uni;Name;Unternehmen;Branche;FIELD6;Funktion;Alternativname;Quelle
Hessen;Universität Kassel;Thorsten Jablonski;Volkswagen;Automobil;;;Volkswagen AG;https://www.uni-kassel.de/uni/universitaet/organisation/gremien/hochschulrat/
Hessen;Universität Kassel;Dr. Annette Beller;B. Braun Melsungen AG;Pharma;;;;https://www.uni-kassel.de/uni/universitaet/organisation/gremien/hochschulrat/
Hessen;Universität Kassel;Dipl.-Ing. Thomas Landgraf;Enercast;Energie;;;;
Hessen;Universität Mannheim;Dr. John Feldmann;BASF;Chemie;;Vorsitzender;BASF SE;http://www.uni-mannheim.de/1/universitaetsrat/mitglieder/
Hessen;Universität Mannheim;Dr. h.c. Eggert Voscherau;BASF;Chemie;;;BASF SE;http://www.uni-mannheim.de/1/universitaetsrat/mitglieder/
Hessen;Universität Marburg;Prof. Dr. Dr. Dr. h.c. Uwe Bicker;Sanofi Aventis;Medizin;;;;http://www.uni-marburg.de/administration/gremien/hr
Hessen;Universität Marburg;Prof. Dr. Jochen Maas;Sanofi Aventis;Medizin;;;;http://www.uni-marburg.de/administration/gremien/hr
Hessen;Universität Marburg;Dr. h. c. Dipl.-Kfm. Beate Heraeus;Heraeus;Rohstoffe;;;Bertha Heraeus und Kathinka Platzhoff Stiftung;http://www.uni-marburg.de/administration/gremien/hr
Mecklenburg-Vorpommern;Universität Rostock (ohne Klinikum);Eva Maria Buchholz;Hinstorff Buchverlag;Buchhandel;;;;https://www.uni-rostock.de/einrichtungen/gremien-und-wahlen/universitaetsrat/
Mecklenburg-Vorpommern;Universität Rostock (ohne Klinikum);Jörg Sinning;SIV AG;;;;;https://www.uni-rostock.de/einrichtungen/gremien-und-wahlen/universitaetsrat/
Niedersachsen;TU Braunschweig;Dr. Oliver Blume;Porsche;Automobil;;;Volkswagen AG;https://www.tu-braunschweig.de/struktur/organe/hochschulrat
Niedersachsen;TU Braunschweig;Prof. Dr. Heinz Jörg Fuhrmann;Salzgitter AG;Rohstoffe;;;;https://www.tu-braunschweig.de/struktur/organe/hochschulrat
Niedersachsen;TU Clausthal;Dr. Harald Ludanek;Volkswagen;Automobil;;Vorsitzender;;https://www.tu-clausthal.de/universitaet/leitung-verwaltung/gremien/hochschulrat
Niedersachsen;Universität Göttingen (ohne Klinikum);Dr. Joachim Kreuzburg;Sartorius;Medizin;Bildung;;;https://www.uni-goettingen.de/de/11349.html
Niedersachsen;Universität Hannover;Dr. Susanna Zapreva;Enercity;;;;;https://www.uni-hannover.de/de/universitaet/organisation/hochschulrat/mitglieder/zapreva/
Niedersachsen;Universität Hildesheim;Dr. Uwe Thomas;Bosch;Automobil;;Vorsitzender;;https://www.uni-hildesheim.de/stiftung/stiftungsrat/
Niedersachsen;Universität Oldenburg;Jörg Waskönig;Waskönig;;;Vorsitzender;;https://uol.de/hochschulrat
Niedersachsen;Universität Osnabrück;Arnulf Piepenbrock;Piepenbrock Unternehmensgruppe GmbH & Co KG;;;;;https://www.uni-osnabrueck.de/universitaet/organisation/organe-und-gremien/hochschulrat/
