Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname
;WeiÃŸensee Kunsthochschule Berlin;Dieter Puchta;;Investitionsbank Berlin;
;Technische Universität Berlin;Konrad Nassauer;;Borsig GmbH;
;;Dietrich Wörner;;Deutsches Zentrum für Luft- und Raumfahrt;
;SRH Hochschule Berlin;PROF. KLAUS HEKKING;Vorsitzender;SRH Holding;
;;DR. HANS-JÜRGEN AHLBRECHT;;debis Immobilienmanagement;
;;BERND EULER;;Siemens;
;;DR. ARMGARD VON REDEN;;IBM;
;;DR. HERBERT RISCHE;;Deutsche Rentenversicherung Bund;
;;GRÄFIN ANNETTE VON WEDEL;;Deutsche Bahn;Deutsche Bahn AG
;Hochschule für Musik Berlin;Thomas Greiner;;DUSSMANN AG & Co. KgaA;
;;Christian Töpper;;Taxxus Media GmbH;
;Beuth-Hochschule für Technik Berlin;Knauer, Alexandra;;Koenig & Bauer AG;
;;Kossack, Gabriele, Dipl.-Ing.;;Deloitte & Touche;
;;Uppenkamp, Reinhard, Dr.;;Berlin-Chemie AG;
Bayern;Technische Universität München (ohne Klinikum);Susanne Klatten;;BMW;
;;;;SGL Carbon GmbH;
;;;;Altana AG;
;;Dr. Nicola Leibinger-Kammüller;;Trumpf;
;;Peter Löscher;;Siemens;
;;Dr.-Ing. Dr.-Ing. E.h. Norbert Reithofer;;BMW;
;;Dr. med. Matthias Wilkening;;Klinikum Wahrendorff GmbH;
;;Prof. Dr. Eva-Maria Neher;;XLAB Göttingen;
;Universität Würzburg (ohne Klinikum);Claus Bolza-Schünemann;;Koenig & Bauer AG;
;;Prof. Dr. Wolfgang Grewe;;Deloitte & Touche;
;;Ingrid Hunger;;Walter Hunger GmbH & Co.KG;
;;Dipl.-Kfm. Baldwin Knauf;;Knauf Unternehmensgruppe;
;;Dipl.-Kfm. Jürgen Otto;;Brose Gruppe;
;Hochschule fÃ¼r angewandte Wissenschaften WÃ¼rzburg-Schweinfurt (FHWS);Rainer Hundsdörfer;;ebm-papst;
;;Dieter Landgraf;;ESN Deutsche Tischtennistechnologie GmbH;
;;Angelique Renkhoff-Mücke;;WAREMA Renkhoff;
;;Widmaier;;Schaeffler Gruppe;
;Hochschule Amberg-Weiden;Dipl.-Ing. Manfred Baumann;;Gerresheimer Regensburg GmbH;
;;Dipl.-Kfm. Christian Engel;Vorsitzender;BHS Corrugated GmbH;
;;Dr.-Ing. E.h. Dipl.-Ing. Hans G. Huber;;Huber SE;
;;Prof. Dr.-Ing. Erich Voss;;Siemens;
;Hochschule Ansbach;Christoph Faßhauer;;OECHSLER AG;
;;Manfred Geyer;;Raiffeisen Volksbank eG;
;;Gabriela Gottwald;;Bayerische BauAkademie;
;;Max Heller;;Möbelwerke Schüller;
;;Dr. Werner Lang;;MEKRA Lang;
;;Roland Moritzer;;Ansbacher Versorgungs- und Verkehrsholding GmbH;
;;Udo Noack;;Bosch;
;;Johann Reindl;;Electrolux Rothenburg GmbH;
;;Gisela Schellenberger;;Schellenberger Bürstenfabrik GmbH;
;Hochschule Coburg;Manuel Hartung, M.A., MPA (Harvard);;TEMPUS CORPORATE GmbH;
;;Dipl.-Wirt.-Ing. Klaus Jürgen Heitmann;;HUK-COBURG Versicherungsgruppe;
;;Dipl.-Ing. (TU) Martin Kapp;;Kapp-Niles Unternehmensgruppe;
;Hochschule für Fernsehen und Film München;Christian Becker;;Rat Pack Filmproduktion;
;;Jan Mojto;Vorsitzender;EOS GmbH;
;;Sigrid Narjes;;Agentur ABOVE THE LINE;
;;Mariette Rissenbeck;;GERMAN FILMS;
;;Achim Rohnke;;Bavaria Film GmbH;
;;Brigitte von Welser;;Gasteig München GmbH;
;;Joseph Vilsmaier;;perathon Medien GmbH;
;Hochschule für Musik und Theater München;Prof. Dr.h.?c. Roland Berger;;Roland Berger Strategy Consultants GmbH;
;;Dr. Wolf-Dieter Seiffert;;G. Henle Verlag;
;;Brigitte von Welser;;Gasteig München GmbH;
;Hochschule Kempten;Schultz, Wolfgang E.;Vorsitzender;Fa. MAGNET-SCHULTZ GmbH & Co. Fabrikations- und Vertriebs-KG;
;;Brehm, Markus;;Allgäuer Zeitungsverlag GmbH;
;;Fäßler, Anna-Maria, Dr.;;Hotel & Resort Sonnenalp;
;;Froschmayer, Andreas, Dr.;;Dachser GmbH & Co. KG;
;;Hauke , Michael;;Allgäuer Werkstätten GmbH;
;;Hesemann, Friedrich;;Liebherr-Verzahntechnik GmbH;
;;Höhn, Michael, Dr.-Ing.;;Bosch;
;;Traumann, Christian;;Fa. Multivac Sepp Haggenmüller GmbH & Co. KG;
;Hochschule Landshut;Dr. Karl Ambrus;;EADS;
;;Barbara Bergmeier;;BMW;
;;Prof. Dr. Jörg M. Elsenbach;;Dräxlmaier Group;
;;Dr. Lothar Enders;;enders Ingenieure GmbH;
;;Dr. Marlies Flieser-Hartl;;LAKUMED Landshut;
;;Brigitte Zeier;;Siemens;
;Hochschule München;Ulrich Bach;;Joh. Winklhofer Beteiligungs GmbH & Co. KG;
;;Prof. Elmar F. Baur;;Baur & Company;
;;Dr. Thomas Berden;;Geschäftsführer der Hilti GmbH;
;Hochschule Rosenheim;Walter Schatt;Vorsitzender;Schattdecor AG Thansau;
;;Dr. Wolfgang Friedrich;;MBM Maschinenbau Mühldorf GmbH;
;;Prof. Dr. Thomas Sesselmann;;Johannes Heidenhain GmbH;
;;Katharina König;;Spinner GmbH;
;Hochschule Weihenstephan-Triesdorf;Claus Haberda;;Roche;
;;Bernhard Hönig;;Dehner GmbH&Co.KG;
;;Dr. Josef Krapf;;BayWa AG;
;FH Regensburg;Hans-Jürgen Thaus;Vorsitzender;Krones AG;
;;Thomas Hanauer;;Hanauer GmbH  Co. KGaA;
;;Wolfgang Kelch;;KLEBL Baulogistik GmbH;
;;Helmut Matschi;;Continental;
;;Michael Rohde;;Maschinenfabrik Reinhausen GmbH;
;Technische Hochschule Deggendorf;Herr Dipl.-Ing. Karl Wißpeintner;Vorsitzender;Micro Epsilon;
;;Herr Dr. Andreas Buske;;Zwiesel Kristallglas AG;
;;Herr Dr. Jürgen Dornbach;;Deutsche Bahn;"DB RegioNetz Verkehrs GmbH; DB RegioNetz Infrastruktur GmbH"
;;Frau Veronika Lindner;;Lindner Group KG;
;;Herr Manfred Zollner;;Zollner Elektronik AG;
;Hochschule fÃ¼r angewandte Wissenschaft Ingolstadt;Dipl.-Ing. Reinhard Büchl;Vorsitzender;Büchl Entsorgungswirtschaft GmbH;
;;"Prof. Dr.-Ing. Sebastian Bauer;";;Bauer Maschinen GmbH;
;;Dipl.-Ing. Frank Dreves;;AUDI AG;
;;Dr. Gerlinde Honold;;Eurocopter Deutschland GmbH;
;;Walter Huber;;Siemens;
