Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;;;
;Fachhochschule Erfurt;2010;Bund Deutscher Architekten;Geldleistung;Sponsoring;2000;Vortragsreihe Architektenforum;;;;
;;2011;Architektenkammer Thüringen;Geldleistung;Sponsoring;500;Vortragsreihe Architektenforum;;;;
;Fachhochschule Nordhausen;2010;Kreissparkasse Nordhausen;Geldleistung;Spende;1000;Ausrichtung von Marketingaktivitäten;;;;
;;2011;Jaha Gastro GmbH;Geldleistung;Spende;800;Unterstützung der Bibliothek;;;;
;FH Schmalkalden;2010;Micro Epsilon;Sachleistung;Spende;1881,39;Unterstützung der Lehre, Wissenschaft und Forschung;;;;
;;2010;Hella;Geldleistung;Spende;500;Zuwendung für Förderung von Wissen- schaft und Forschung;;;;
;;2011;DOAG Dienst- Leistungen GmbH;Geldleistung;Spende;5000;Zuwendung für Förde- ft und Forschung;;;;
;;2011;Inverso GmbH;Geldleistung;Spende;1200;Unterstützung der Lehre, Wissenschaft und Forschung;;;;
;;2011;Thüringische Weidmüller GmbH;Sachleistung;Spende;665,57;Unterstützung der Lehre, Wissenschaft und Forschung;;;;
;;2011;Wago Kontakttechnik GmbH & Co. KG;Sachleistung;Spende;679;Unterstützung der Lehre, Wissenschaft und Forschung;;;;
;;2011;DOAG Dienst- Leistungen GmbH;Geldleistung;Spende;5000;Zuwendung für Förderung von Lehre, Wissenschaft und Forschung;;;;
;;2011;Inverso GmbH;Geldleistung;Spende;1200;Unterstützung der Lehre, Wissenschaft und Forschung;;;;
;;2011;Thüringische Weidmüller GmbH;Sachleistung;Spende;665,57;Unterstützung der Lehre, Wissenschaft und Forschung;;;;
;;2011;Wago Kontakttechnik GmbH & Co. KG;Sachleistung;Spende;679;Unterstützung der Lehre, Wissenschaft und Forschung;;;;
;Hochschule fÃ¼r Musik Franz Liszt Weimar;2010;anonymisiert*;Geldleistung;Spende;600;Spende Weimarer Meisterkurse;;;;
;;2010;anonymisiert*;Geldleistung;Spende;1000;Sonderpreis Spohr Wettbewerb 2010;;;;
;;2010;anonymisiert*;Geldleistung;Spende;1000;Sonderpreis Spohr Wettbewerb 2010;;;;
;;2010;Sparkasse Mittelthüringen;Geldleistung;Spende;500;Spende 7. Liszt-Wettbewerb;;;;
;;2010;anonym**;Geldleistung;Spende;7200;Begabtenförderung;;;;
;;2010;anonym**;Geldleistung;Spende;2000;Druckkostenzuschuss;;;;
;;2010;Stadtwerke Weimar;Geldleistung;Spende;3000;Förderung „Maria-Pawlowna- Stipendium“;;;;
;;2010;Gerda Henkel Stiftung;Geldleistung;Spende;10000;Unterstützung Cherubini-Symposium;;;;
;;2010;Sparkasse Mittelthüringen;Geldleistung;Spende;3000;Förderung „Maria-Pawlowna- Stipendium“;;;;
;;2010;anonym**;Geldleistung;Spende;1000;nicht bekannt;;;;
;;2010;Commerzbank;Geldleistung;Spende;12000;Preis Bach-Liszt-Orgel- wettbewerb;;;;
;;2011;anonymisiert*;Geldleistung;Spende;11250;Orchester für den prakt. Dirigierunterricht;;;;
;;2011;anonymisiert*;Geldleistung;Spende;3000;Sonderpreis „Liszt-Wettbewerb“;;;;
;;2011;Sparkasse Mittelthüringen;Geldleistung;Spende;8000;internat. Bach/Liszt Orgelwettbewerb;;;;
;;2011;Sparkasse Mittelthüringen;Geldleistung;Spende;3000;Förderung „Maria- Pawlowna-Stipendium“;;;;
;;2011;anonymisiert*;Geldleistung;Spende;1000;Spende Projekt Prof. Beetz;;;;
;;2011;anonymisiert*;Geldleistung;Spende;500;Orchester für den prakt. Dirigierunterricht;;;;
;;2011;Neue Liszt Stiftung Weimar;Geldleistung;Spende;1000;Internat. Liszt- Wettbewerb Junge Pianisten;;;;
;;2011;Klavierhaus M. Fiech;Geldleistung;Spende;1000;Sonderpreis Liszt- Junior Wettbewerb;;;;
;;2011;Sparkassen Kulturstiftung;Geldleistung;Spende;12200;Sonderpreis Liszt-Junior Wettbewerb;;;;
;;2011;anonym**;Geldleistung;Spende;1000;Sonderpreis Orgelwettbewerb;;;;
;;2011;Franz Liszt Gesellschaft Weimar;Geldleistung;Spende;1000;Sonderpreis Franz-Liszt-Wettbewerb;;;;
